local-authority-nir	local-authority-type	name	website	start-date	end-date
CSR		Castlereagh Borough Council			2015-03-31
ARD		Ards Borough Council			2015-03-31
NDN		North Down Borough Council			2015-03-31
CKF		Carrickfergus Borough Council			2015-03-31
NTA		Newtownabbey Borough Council			2015-03-31
ANT		Antrim Borough Council			2015-03-31
LSB		Lisburn City Council			2015-03-31
DOW		Down District Council			2015-03-31
BNB		Banbridge District Council			2015-03-31
NYM		Newry and Mourne District Council			2015-03-31
ARM		Armagh City and District Council			2015-03-31
CGV		Craigavon Borough Council			2015-03-31
DGN		Dungannon and South Tyrone Borough Council			2015-03-31
FER		Fermanagh District Council			2015-03-31
OMH		Omagh District Council			2015-03-31
STB		Strabane District Council			2015-03-31
CKT		Cookstown District Council			2015-03-31
MFT		Magherafelt District Council			2015-03-31
BLA		Ballymena Borough Council			2015-03-31
LRN		Larne Borough Council			2015-03-31
MYL		Moyle District Council			2015-03-31
BLY		Ballymoney Borough Council			2015-03-31
CLR		Coleraine Borough Council			2015-03-31
LMV		Limavady Borough Council			2015-03-31
DRY		Derry City Council			2015-03-31
NMD	DIS	Newry, Mourne and Down District Council	www.newrymournedown.org/  	2015-04-01	
MUL	DIS	Mid Ulster District Council	www.midulstercouncil.org/	2015-04-01	
MEA	BGH	Mid & East Antrim Borough Council	www.midandeastantrim.gov.uk/	2015-04-01	
LBC	CIT	Lisburn & Castlereagh City Council	www.lisburncastlereagh.gov.uk/	2015-04-01	
FMO	DIS	Fermanagh and Omagh District Council	www.fermanaghomagh.com/	2015-04-01	
DRS	DIS	Derry City and Strabane District Council	www.derrystrabane.com/	2015-04-01	
CCG	BGH	Causeway Coast and Glens Borough Council	www.causewaycoastandglens.gov.uk/	2015-04-01	
BFS	CIT	Belfast City Council	www.belfastcity.gov.uk/		
ANN	BGH	Antrim & Newtownabbey Borough Council	www.antrimandnewtownabbey.gov.uk/	2015-04-01	
AND	BGH	Ards and North Down Borough Council	www.ardsandnorthdown.gov.uk/	2015-04-01	
ABC	BGH	Armagh City, Banbridge and Craigavon Borough Council	www.armaghbanbridgecraigavon.gov.uk/	2015-04-01	
