local-authority-sct	local-authority-type	name	official-name	start-date	end-date
ABD	CA	Aberdeenshire	Aberdeenshire Council	1996-04-01	
ABE	CA	Aberdeen City	Aberdeen City Council	1996-04-01	
AGB	CA	Argyll and Bute	Argyll and Bute Council	1996-04-01	
ANS	CA	Angus	Angus Council	1996-04-01	
CLK	CA	Clackmannanshire	Clackmannanshire Council	1996-04-01	
DGY	CA	Dumfries and Galloway	Dumfries and Galloway Council	1996-04-01	
DND	CA	Dundee City	Dundee City Council	1996-04-01	
EAY	CA	East Ayrshire	East Ayrshire Council	1996-04-01	
EDH	CA	City of Edinburgh	City of Edinburgh Council	1996-04-01	
EDU	CA	East Dunbartonshire	East Dunbartonshire Council	1996-04-01	
ELN	CA	East Lothian	East Lothian Council	1996-04-01	
ELS	CA	Na h-Eileanan Siar	Comhairle nan Eilean Siar	1996-04-01	
ERW	CA	East Renfrewshire	East Renfrewshire Council	1996-04-01	
FAL	CA	Falkirk	Falkirk Council	1996-04-01	
FIF	CA	Fife	Fife Council	1996-04-01	
GLG	CA	Glasgow City	Glasgow City Council	1996-04-01	
HLD	CA	Highland	Highland Council	1996-04-01	
IVC	CA	Inverclyde	Inverclyde Council	1996-04-01	
MLN	CA	Midlothian	Midlothian Council	1996-04-01	
MRY	CA	Moray	Moray Council	1996-04-01	
NAY	CA	North Ayrshire	North Ayrshire Council	1996-04-01	
NLK	CA	North Lanarkshire	North Lanarkshire Council	1996-04-01	
ORK	CA	Orkney Islands	Orkney Islands Council	1996-04-01	
PKN	CA	Perth and Kinross	Perth and Kinross Council	1996-04-01	
RFW	CA	Renfrewshire	Renfrewshire Council	1996-04-01	
SAY	CA	South Ayrshire	South Ayrshire Council	1996-04-01	
SCB	CA	Scottish Borders	Scottish Borders Council	1996-04-01	
SLK	CA	South Lanarkshire	South Lanarkshire Council	1996-04-01	
STG	CA	Stirling	Stirling Council	1996-04-01	
WDU	CA	West Dunbartonshire	West Dunbartonshire Council	1996-04-01	
WLN	CA	West Lothian	West Lothian Council	1996-04-01	
ZET	CA	Shetland Islands	Shetland Islands Council	1996-04-01	
