local-authority-sct	local-authority-type	name	official-name	start-date	end-date
ABD	CA	Aberdeenshire	The Aberdeenshire Council	1996-04-01	
ABE	CA	Aberdeen City	The Aberdeen City Council	1996-04-01	
AGB	CA	Argyll and Bute	The Argyll and Bute Council	1996-04-01	
ANS	CA	Angus	The Angus Council	1996-04-01	
CLK	CA	Clackmannanshire	The Clackmannanshire Council	1996-04-01	
DGY	CA	Dumfries and Galloway	The Dumfries and Galloway Council	1996-04-01	
DND	CA	Dundee City	The Dundee City Council	1996-04-01	
EAY	CA	East Ayrshire	The East Ayrshire Council	1996-04-01	
EDH	CA	Edinburgh	The City of Edinburgh Council	1996-04-01	
EDU	CA	East Dunbartonshire	The East Dunbartonshire Council	1996-04-01	
ELN	CA	East Lothian	The East Lothian Council	1996-04-01	
ELS	CA	Comhairle nan Eilean Siar	Comhairle nan Eilean Siar	1996-04-01	
ERW	CA	East Renfrewshire	The East Renfrewshire Council	1996-04-01	
FAL	CA	Falkirk	The Falkirk Council	1996-04-01	
FIF	CA	Fife	The Fife Council	1996-04-01	
GLG	CA	Glasgow City	The Glasgow City Council	1996-04-01	
HLD	CA	Highland	The Highland Council	1996-04-01	
IVC	CA	Inverclyde	The Inverclyde Council	1996-04-01	
MLN	CA	Midlothian	The Midlothian Council	1996-04-01	
MRY	CA	Moray	The Moray Council	1996-04-01	
NAY	CA	North Ayrshire	The North Ayrshire Council	1996-04-01	
NLK	CA	North Lanarkshire	The North Lanarkshire Council	1996-04-01	
ORK	CA	Orkney Islands	The Orkney Islands Council	1996-04-01	
PKN	CA	Perth and Kinross	The Perth and Kinross Council	1996-04-01	
RFW	CA	Renfrewshire	The Renfrewshire Council	1996-04-01	
SAY	CA	South Ayrshire	The South Ayrshire Council	1996-04-01	
SCB	CA	Scottish Borders	The Scottish Borders Council	1996-04-01	
SLK	CA	South Lanarkshire	The South Lanarkshire Council	1996-04-01	
STG	CA	Stirling	The Stirling Council	1996-04-01	
WDU	CA	West Dunbartonshire	The West Dunbartonshire Council	1996-04-01	
WLN	CA	West Lothian	The West Lothian Council	1996-04-01	
ZET	CA	Shetland Islands	The Shetland Islands Council	1996-04-01	
