local-authority-wls	name	name-cy	official-name	start-date	end-date
AGY	Isle of Anglesey	Sir Ynys Môn	Isle of Anglesey County Council	1996-04-01	
BGE	Bridgend	Pen-y-bont ar Ogwr	Bridgend County Borough Council	1996-04-01	
BGW	Blaenau Gwent	Blaenau Gwent	Blaenau Gwent County Borough Council	1996-04-01	
CAY	Caerphilly	Caerffili	Caerphilly County Borough Council	1996-04-01	
CGN	Ceredigion	Ceredigion	Ceredigion County Council	1996-04-01	
CMN	Carmarthenshire	Sir Gaerfyrddin	Carmarthenshire County Council	1996-04-01	
CRF	Cardiff	Caerdydd	City of Cardiff Council	1996-04-01	
CWY	Conwy	Conwy	Conwy County Borough Council	1996-04-01	
DEN	Denbighshire	Sir Ddinbych	Denbighshire County Council	1996-04-01	
FLN	Flintshire	Sir y Fflint	Flintshire County Council	1996-04-01	
GWN	Gwynedd	Gwynedd	Gwynedd Council	1996-04-01	
MON	Monmouthshire	Sir Fynwy	Monmouthshire County Council	1996-04-01	
MTY	Merthyr Tydfil	Merthyr Tudful	Merthyr Tydfil County Borough Council	1996-04-01	
NTL	Neath Port Talbot	Castell-nedd Port Talbot	Neath Port Talbot County Borough Council	1996-04-01	
NWP	Newport	Casnewydd	Newport City Council	1996-04-01	
PEM	Pembrokeshire	Sir Benfro	Pembrokeshire County Council	1996-04-01	
POW	Powys	Powys	Powys County Council	1996-04-01	
RCT	Rhondda Cynon Taff		Rhondda Cynon Taf County Borough Council	1996-04-01	
SWA	Swansea	Abertawe	City and County of Swansea Council	1996-04-01	
TOF	Torfaen	Tor-faen	Torfaen County Borough Council	1996-04-01	
VGL	The Vale of Glamorgan	Bro Morgannwg	Vale of Glamorgan Council	1996-04-01	
WRX	Wrexham	Wrecsam	Wrexham County Borough Council	1996-04-01	
