food-authority	name	website	email
021	Aylesbury Vale	http://www.aylesburyvaledc.gov.uk	envhealth@aylesburyvaledc.gov.uk
022	Chiltern	http://www.chiltern.gov.uk	envhealth@chiltern.gov.uk
024	South Buckinghamshire	http://www.southbucks.gov.uk	envhealth@southbucks.gov.uk
025	Wycombe	http://www.wycombe.gov.uk	Food.Ratings@wycombe.gov.uk
027	Cambridge City	http://www.cambridge.gov.uk	env.health@cambridge.gov.uk
028	East Cambridgeshire	http://www.eastcambs.gov.uk	customerservices@eastcambs.gov.uk
029	Fenland	http://www.fenland.gov.uk/article/2117/Food-Safety	environmentalservicerequests@fenland.gov.uk
030	Huntingdonshire	http://www.huntingdonshire.gov.uk	food@huntingdonshire.gov.uk
032	South Cambridgeshire	http://www.scambs.gov.uk/	env.health@scambs.gov.uk
055	Allerdale	http://www.allerdale.gov.uk	environmental.health@allerdale.gov.uk
056	Barrow-in-Furness	http://www.barrowbc.gov.uk	commercial@barrowbc.gov.uk
057	Carlisle City	http://www.carlisle.gov.uk	Environmentalhealth@carlisle.gov.uk
058	Copeland	http://www.copeland.gov.uk	envhealth@copeland.gov.uk
059	Eden	http://www.eden.gov.uk/	foodratings@eden.gov.uk
060	South Lakeland	http://www.southlakeland.gov.uk	publicprotection@southlakeland.gov.uk
062	Amber Valley	http://www.ambervalley.gov.uk	envhealth@ambervalley.gov.uk
063	Bolsover	http://www.bolsover.gov.uk/	enquiries@bolsover.gov.uk
064	Chesterfield	http://www.chesterfield.gov.uk	food@chesterfield.gov.uk
066	Erewash	http://www.erewash.gov.uk/	environmentalhealth@erewash.gov.uk
067	High Peak	http://www.highpeak.gov.uk	borough-council@highpeak.gov.uk
068	North East Derbyshire	http://www.ne-derbyshire.gov.uk/	envhealth@ne-derbyshire.gov.uk
069	South Derbyshire	http://www.south-derbys.gov.uk	environmental.health@south-derbys.gov.uk
070	Derbyshire Dales	http://www.derbyshiredales.gov.uk/fhrs	envhealth@derbyshiredales.gov.uk
072	East Devon	http://www.eastdevon.gov.uk	environmentalhealth@eastdevon.gov.uk
073	Exeter City	http://www.exeter.gov.uk	environmental.health@exeter.gov.uk
074	Mid Devon	http://www.middevon.gov.uk	ehadmin@middevon.gov.uk
075	North Devon	http://www.northdevon.gov.uk	customerservices@northdevon.gov.uk
077	South Hams	http://www.southhams.gov.uk/	environmental.health@southhams.gov.uk
078	Teignbridge	http://www.teignbridge.gov.uk/fhrs	fhrs@teignbridge.gov.uk
080	Torridge	http://www.torridge.gov.uk/food	foodandsafety@torridge.gov.uk
081	West Devon	http://www.westdevon.gov.uk	eh@westdevon.gov.uk
084	Christchurch	http://www.dorsetforyou.com	environmental.services@christchurch.gov.uk
085	East Dorset	http://www.dorsetforyou.gov.uk	publichealth@christchurchandeastdorset.gov.uk
086	North Dorset	http://www.dorsetforyou.com	envlicens@north-dorset.gov.uk
088	Purbeck	http://www.dorsetforyou.com/purbeck	publichealth@purbeck-dc.gov.uk
089	West Dorset	http://www.dorsetforyou.com	env.health@westdorset-dc.gov.uk
090	Weymouth and Portland	http://www.dorsetforyou.com	envhealth@weymouth.gov.uk
102	Eastbourne	http://www.eastbourne.gov.uk/foodratings	Customerfirst@eastbourne.gov.uk
103	Hastings	http://www.hastings.gov.uk	fhrs@hastings.gov.uk
105	Lewes	http://www.lewes.gov.uk/	ehealth@lewes.gov.uk
106	Rother	http://www.rother.gov.uk	envhealth@rother.gov.uk
107	Wealden	http://www.wealden.gov.uk	envhealth@rother.gov.uk
109	Basildon	http://www.basildon.gov.uk	ehs@basildon.gov.uk
110	Braintree	http://www.braintree.gov.uk	health_protection@braintree.gov.uk
111	Brentwood	http://www.brentwood.gov.uk/	envhealth@brentwood.gov.uk
112	Castle Point	http://www.castlepoint.gov.uk	environmentalhealth@castlepoint.gov.uk
113	Chelmsford	http://www.chelmsford.gov.uk	safesupport@chelmsford.gov.uk
114	Colchester	http://www.colchester.gov.uk	food.safety@colchester.gov.uk
115	Epping Forest	http://www.eppingforestdc.gov.uk	publichealth@eppingforestdc.gov.uk
116	Harlow	http://www.harlow.gov.uk/	env.health@harlow.gov.uk
117	Maldon	http://www.maldon.gov.uk	environmentservices.request@maldon.gov.uk
118	Rochford	http://www.rochford.gov.uk	customerservices@rochford.gov.uk
120	Tendring	http://www.tendringdc.gov.uk/	fhsadmin@tendringdc.gov.uk
122	Uttlesford	http://www.uttlesford.gov.uk	environmentalhealth@uttlesford.gov.uk
124	Cheltenham	http://www.cheltenham.gov.uk	ehbusinesssupport@cheltenham.gov.uk
125	Cotswold	http://www.cotswold.gov.uk	foodandsafetymail@cotswold.gov.uk
126	Forest of Dean	http://www.fdean.gov.uk	food@fdean.gov.uk
127	Gloucester City	http://www.gloucester.gov.uk	heretohelp@gloucester.gov.uk
128	Stroud	http://www.stroud.gov.uk	environmental.health@stroud.gov.uk
129	Tewkesbury	http://www.tewkesbury.gov.uk	ehenquiries@tewkesbury.gov.uk
131	Basingstoke and Deane	http://www.basingstoke.gov.uk	ehteam@basingstoke.gov.uk
132	East Hampshire	http://www.easthants.gov.uk/	ehealth@easthants.gov.uk
133	Eastleigh	http://www.eastleigh.gov.uk/	eh@eastleigh.gov.uk
134	Fareham	http://www.fareham.gov.uk	regulatory@fareham.gov.uk
135	Gosport	http://www.gosport.gov.uk	ehs@gosport.gov.uk
136	Hart	http://www.hart.gov.uk/index/environment-and-planning/environmental_health/food_safety.htm	eh@hart.gov.uk
137	Havant	http://www.havant.gov.uk	ehcommercial@havant.gov.uk
138	New Forest	http://www.newforest.gov.uk	hygiene.rating@nfdc.gov.uk
140	Rushmoor	http://www.rushmoor.gov.uk	food@rushmoor.gov.uk
142	Test Valley	http://www.testvalley.gov.uk/	envhealth@testvalley.gov.uk
143	Winchester City	http://www.winchester.gov.uk	healthprotection@winchester.gov.uk
145	Bromsgrove	http://www.worcsregservices.gov.uk	wrsenquiries@worcestershire.gov.uk
148	Malvern Hills	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
149	Redditch	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
151	Worcester City	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
152	Wychavon	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
153	Wyre Forest	http://www.worcsregservices.gov.uk	wrsenquiries@worcsregservices.gov.uk
155	Broxbourne	http://www.broxbourne.gov.uk	envhealth@broxbourne.gov.uk
156	Dacorum	http://www.dacorum.gov.uk	environmental.health@dacorum.gov.uk
157	East Hertfordshire	http://www.eastherts.gov.uk	environmental.health@eastherts.gov.uk
158	Hertsmere	http://www.hertsmere.gov.uk	environmental.health@hertsmere.gov.uk
159	North Hertfordshire	http://www.north-herts.gov.uk	env.health@north-herts.gov.uk
160	St Albans City	http://www.stalbans.gov.uk/business/Health-and-safety/food-safety/foodHygieneRating.aspx	fhrs@stalbans.gov.uk
161	Stevenage	http://www.stevenage.gov.uk	env.health@stevenage.gov.uk
162	Three Rivers	http://www.threerivers.gov.uk	enquiries@Threerivers.gov.uk
163	Watford	http://www.watford.gov.uk/foodhygieneratings	envhealth@watford.gov.uk
164	Welwyn Hatfield	http://www.welhat.gov.uk	e.health@welhat.gov.uk
179	Ashford	http://www.ashford.gov.uk	envhealth@ashford.gov.uk
180	Canterbury City	http://www.canterbury.gov.uk	food@canterbury.gov.uk
181	Dartford	http://www.dartford.gov.uk/foodsafety/index.htm	environmentalhealth@dartford.gov.uk
182	Dover	http://www.dover.gov.uk/	envhealth@dover.gov.uk
184	Gravesham	http://www.gravesham.gov.uk/	hygiene.ratingscheme@gravesham.gov.uk
185	Maidstone	http://www.maidstone.gov.uk/	customerservices@maidstone.gov.uk
187	Sevenoaks	http://www.sevenoaks.gov.uk/	eh.support@dartford.gov.uk
188	Shepway	http://www.shepway.gov.uk	environmental.services@shepway.gov.uk
189	Swale	http://www.swale.gov.uk	commerical@midkent.gov.uk
190	Thanet	http://www.thanet.gov.uk	environmental.health@thanet.gov.uk
191	Tonbridge and Malling	http://www.tmbc.gov.uk	foodandsafety@tmbc.gov.uk
192	Tunbridge Wells	http://www.tunbridgewells.gov.uk	foodandcomm@tunbridgewells.gov.uk
196	Burnley	http://www.burnley.gov.uk	envhealth@burnley.gov.uk
197	Chorley	http://www.chorley.gov.uk/foodratings	contact@chorley.gov.uk
198	Fylde	http://www.fylde.gov.uk/environment/environmental-health/food-safety/national-food-hygiene-rating-scheme/	commercial@fylde.gov.uk
199	Hyndburn	http://www.hyndburnbc.gov.uk	enquiries@hyndburnbc.gov.uk
200	Lancaster City	http://www.lancaster.gov.uk/foodratings	foodratings@lancaster.gov.uk
201	Pendle	http://www.pendle.gov.uk	environmental.food@pendle.gov.uk
202	Preston	http://www.preston.gov.uk	info@preston.gov.uk
203	Ribble Valley	http://www.ribblevalley.gov.uk	environmental.health@ribblevalley.gov.uk
204	Rossendale	http://www.rossendale.gov.uk	envhealth@rossendalebc.gov.uk
205	South Ribble	http://www.southribble.gov.uk	envhealth@southribble.gov.uk
206	West Lancashire	http://www.westlancs.gov.uk	EnvHealth.Admin@westlancs.gov.uk
207	Wyre	https://wyre.gov.uk	mailroom@wyre.gov.uk
209	Blaby	http://www.blaby.gov.uk	environmental.health@blaby.gov.uk
210	Charnwood	http://www.charnwood.gov.uk/	food.hygiene@charnwood.gov.uk
211	Harborough	http://www.harborough.gov.uk	foodandsafety@harborough.gov.uk
212	Hinckley and Bosworth	http://www.hinckley-bosworth.gov.uk	esadmin@hinckley-bosworth.gov.uk
214	Melton	http://www.melton.gov.uk	fhrs@melton.gov.uk
215	North West Leicestershire	http://www.nwleics.gov.uk	ehealth@nwleicestershire.gov.uk
216	Oadby and Wigston	http://www.oadby-wigston.gov.uk	env.health@oadby-wigston.gov.uk
219	Boston	http://www.boston.gov.uk	env.serv@boston.gov.uk
220	East Lindsey	http://www.e-lindsey.gov.uk/	customerservices@e-lindsey.gov.uk
221	Lincoln City	http://www.lincoln.gov.uk	ehcnet@lincoln.gov.uk
222	North Kesteven	http://www.n-kesteven.gov.uk	FoodTeam@n-kesteven.gov.uk
223	South Holland	http://www.sholland.gov.uk	foodhs@sholland.gov.uk
224	South Kesteven	http://www.southkesteven.gov.uk	healthy@southkesteven.gov.uk
225	West Lindsey	https://www.west-lindsey.gov.uk	food.healthandsafety@west-lindsey.gov.uk
227	Breckland	http://www.breckland.gov.uk/	eh.bst@breckland.gov.uk
228	Broadland	http://www.broadland.gov.uk	environ.enforcement@broadland.gov.uk
229	Great Yarmouth	http://www.great-yarmouth.gov.uk/live/index.htm	health@great-yarmouth.gov.uk
230	King's Lynn and West Norfolk	http://www.west-norfolk.gov.uk/	foodhygieneandsafety@west-norfolk.gov.uk
231	North Norfolk	http://www.northnorfolk.org	commercial@north-norfolk.gov.uk
232	Norwich City	http://www.norwich.gov.uk/foodhygieneratings	foodandsafety@norwich.gov.uk
233	South Norfolk	http://www.south-norfolk.gov.uk	envserv@s-norfolk.gov.uk
235	Corby	http://www.corby.gov.uk/Pages/Welcome.aspx	env.health@corby.gov.uk
236	Daventry	http://www.daventrydc.gov.uk	healthimprovement@daventrydc.gov.uk
237	East Northamptonshire	http://www.east-northamptonshire.gov.uk/	commhealth@east-northamptonshire.gov.uk
238	Kettering	http://www.kettering.gov.uk	fhrs@kettering.gov.uk
239	Northampton	http://www.northampton.gov.uk	ehadmin@northampton.gov.uk
240	South Northamptonshire	http://www.southnorthants.gov.uk/	health.protection@southnorthants.gov.uk
241	Wellingborough	http://www.wellingborough.gov.uk	HealthProtection@wellingborough.gov.uk
250	Craven	http://www.cravendc.gov.uk	environmentalhealth@cravendc.gov.uk
251	Hambleton	http://www.hambleton.gov.uk/	fhrs@hambleton.gov.uk
252	Harrogate	http://www.harrogate.gov.uk	foodandoccupationalsafety@harrogate.gov.uk
253	Richmondshire	http://www.richmondshire.gov.uk/	environment@richmondshire.gov.uk
254	Ryedale	http://www.ryedale.gov.uk/	fshs.admin@ryedale.gov.uk
255	Scarborough	http://www.scarborough.gov.uk/foodhygienerating	fos@scarborough.gov.uk
256	Selby	http://www.selby.gov.uk	info@selby.gov.uk
259	Ashfield	http://www.ashfield-dc.gov.uk	info@ashfield-dc.gov.uk
260	Bassetlaw	http://www.bassetlaw.gov.uk	environmental.health@bassetlaw.gov.uk
261	Broxtowe	http://www.broxtowe.gov.uk	health@broxtowe.gov.uk
262	Gedling	http://www.gedling.gov.uk/	foodsafety@gedling.gov.uk
263	Mansfield	http://www.mansfield.gov.uk	envhealth@mansfield.gov.uk
264	Newark and Sherwood	http://www.newark-sherwooddc.gov.uk/	environmental.health@nsdc.info
266	Rushcliffe	http://www.rushcliffe.gov.uk/	envhealth@rushcliffe.gov.uk
268	Cherwell	http://www.cherwell.gov.uk	public.protection@cherwell-dc.gov.uk
269	Oxford City	http://www.oxford.gov.uk	foodsafety@oxford.gov.uk
270	South Oxfordshire	https://www.southoxon.gov.uk	env.health@southandvale.gov.uk
271	Vale of White Horse	http://www.whitehorsedc.gov.uk	env.health@whitehorsedc.gov.uk
272	West Oxfordshire	http://www.westoxon.gov.uk	community.services@westoxon.gov.uk
281	Mendip	http://www.mendip.gov.uk	env-health@mendip.gov.uk
282	Sedgemoor	http://www.sedgemoor.gov.uk	environmental.services@sedgemoor.gov.uk
283	South Somerset	http://www.southsomerset.gov.uk/food	food.safety@southsomerset.gov.uk
284	Taunton Deane	http://www.tauntondeane.gov.uk	Foodsafety@tauntondeane.gov.uk
285	West Somerset	http://www.westsomersetonline.gov.uk	licensingenvhealth@westsomerset.gov.uk
