gaz50k	county	name
SM⋯  Stock on T⋯  Stockton on Tees
LS⋯  Lew⋯  Lewisham
MT⋯  Merth Tyd⋯  Merthyr Tydfil
ER⋯  E Renf⋯  East Renfrewshire
CL⋯  Clackm⋯  Clackmannanshire
CU⋯  Cumbr⋯  Cumbria
TR⋯  Traf⋯  Trafford
GL⋯  C of Glas⋯  Glasgow City
SV⋯  Sund⋯  Sunderland
SS⋯  Swan⋯  Swansea
LT⋯  Leic⋯  Leicestershire
SW⋯  Sthwk⋯  Southwark
WP⋯  Wrekin⋯  Telford and Wrekin
SZ⋯  Sutton⋯  Sutton
LA⋯  Lancs⋯  Lancashire
AB⋯  Aberd⋯  Aberdeenshire
FA⋯  Falk⋯  Falkirk
EA⋯  E Ayr⋯  East Ayrshire
DU⋯  Durham⋯  Durham
HG⋯  Hargy⋯  Haringey
SR⋯  Stir⋯  Stirling
ME⋯  Medway⋯  Medway
RH⋯  Rho Cyn Taf⋯  Rhondda,Cynon,Taff
LD⋯  Leeds⋯  Leeds
SE⋯  Sefton⋯  Sefton
BF⋯  Beds⋯  Bedford
EB⋯  C of Edin⋯  City of Edinburgh
EG⋯  Ealing⋯  Ealing
EX⋯  Essex⋯  Essex
WM⋯  C of West⋯  City of Westminster
MO⋯  Moray⋯  Moray
WW⋯  Wan⋯  Wandsworth
BH⋯  C of Bri & Hov⋯  City of Brighton and Hove
DN⋯  Devon⋯  Devon
YS⋯  Sou-on-Sea⋯  Southend-on-Sea
ED⋯  E Dunb⋯  East Dunbartonshire
HD⋯  Herts⋯  Hertfordshire
AR⋯  Arg & Bt⋯  Argyll and Bute
BG⋯  Blae Gw⋯  Blaenau Gwent
SB⋯  Scot Bord⋯  Scottish Borders
BT⋯  Brent⋯  Brent
SL⋯  S Lanak⋯  South Lanarkshire
WB⋯  W Berks⋯  West Berkshire
HV⋯  Hav⋯  Havering
EY⋯  E Yorks⋯  East Riding of Yorkshire
DL⋯  Darl⋯  Darlington
SX⋯  S Ayr⋯  South Ayrshire
XX⋯  0⋯  XXXXXXXX
BN⋯  Barnet⋯  Barnet
BY⋯  Bury⋯  Bury
DD⋯  C of Dun⋯  Dundee City
CM⋯  Camden⋯  Camden
CC⋯  Ches W⋯  Cheshire West and Chester
IW⋯  I of W⋯  Isle of Wight
TB⋯  Torbay⋯  Torbay
BO⋯  Bolton⋯  Bolton
BE⋯  Brig⋯  Bridgend
PK⋯  Pth & Kin⋯  Perth and Kinross
MB⋯  Midd⋯  Middlesbrough
WT⋯  Wilts⋯  Wiltshire
CH⋯  Ches E⋯  Cheshire East
NW⋯  N upon Ty⋯  Newcastle upon Tyne
MI⋯  Midlo⋯  Midlothian
PW⋯  Powys⋯  Powys
CB⋯  Cambs⋯  Cambridgeshire
SN⋯  St Hel⋯  St Helens
BS⋯  Bath & NE Somer⋯  Bath and North East Somerset
NN⋯  Northnts⋯  Northamptonshire
SQ⋯  Sol⋯  Solihull
NY⋯  N Yks⋯  North Yorkshire
HP⋯  Hants⋯  Hampshire
HE⋯  Heref⋯  Herefordshire
DT⋯  Dorset⋯  Dorset
SK⋯  Suff⋯  Suffolk
NG⋯  C of Nott⋯  City of Nottingham
NS⋯  N Som⋯  North Somerset
CD⋯  Card⋯  Cardiff
BK⋯  C Beds⋯  Central Bedfordshire
DG⋯  D & G⋯  Dumfries and Galloway
HN⋯  Hack⋯  Hackney
KL⋯  Kirk⋯  Kirklees
TS⋯  Tames⋯  Tameside
WA⋯  Wals⋯  Walsall
AN⋯  C of Aber⋯  Aberdeen City
WE⋯  Wakf⋯  Wakefield
WC⋯  Win & Maid⋯  Windsor and Maidenhead
FF⋯  Fife⋯  Fife
IS⋯  I Scilly⋯  Isles of Scilly
DE⋯  Denb⋯  Denbighshire
SU⋯  Surrey⋯  Surrey
GY⋯  Gwyn⋯  Gwynedd
IL⋯  Isling⋯  Islington
RT⋯  Rich⋯  Richmond upon Thames
HT⋯  Hartpl⋯  Hartlepool
WR⋯  Wirral⋯  Wirral
NH⋯  Newham⋯  Newham
SD⋯  Swin⋯  Swindon
BB⋯  Black w Dar⋯  Blackburn with Darwen
DR⋯  Donc⋯  Doncaster
CV⋯  Cov⋯  Coventry
MA⋯  Man⋯  Manchester
EN⋯  Enf⋯  Enfield
HI⋯  Hill⋯  Hillingdon
BZ⋯  C of Bris⋯  City of Bristol
YK⋯  York⋯  York
RG⋯  Read⋯  Reading
HS⋯  Houns⋯  Hounslow
SI⋯  Shetld⋯  Shetland Islands
WK⋯  Warw⋯  Warwickshire
RB⋯  Redbr⋯  Redbridge
SG⋯  S Glos⋯  South Gloucestershire
CE⋯  Cered⋯  Ceredigion
SY⋯  S Tyne⋯  South Tyneside
WX⋯  Wrex⋯  Wrexham
RO⋯  Roth⋯  Rotherham
PY⋯  C of Plym⋯  City of Plymouth
AG⋯  Angus⋯  Angus
BL⋯  Barns⋯  Barnsley
RE⋯  Renf⋯  Renfrewshire
WD⋯  W Dunb⋯  West Dunbartonshire
WH⋯  C of Wolv⋯  City of Wolverhampton
LN⋯  Luton⋯  Luton
OH⋯  Oldham⋯  Oldham
MK⋯  Mil Key⋯  Milton Keynes
GH⋯  Ghead⋯  Gateshead
WJ⋯  Wok⋯  Wokingham
BM⋯  Bucks⋯  Buckinghamshire
WI⋯  N Eil⋯  Na h-Eileanan an Iar
NP⋯  Nth Pt Talb⋯  Neath Port Talbot
HA⋯  Halton⋯  Halton
PB⋯  Pemb⋯  Pembrokeshire
RL⋯  Rut⋯  Rutland
PE⋯  C of Peterb⋯  City of Peterborough
LB⋯  Lam⋯  Lambeth
BP⋯  Blackp⋯  Blackpool
OK⋯  Orkney⋯  Orkney Islands
WF⋯  Wal F⋯  Waltham Forest
BC⋯  Brackn⋯  Bracknell Forest
KT⋯  Kent⋯  Kent
CT⋯  Carm⋯  Carmarthenshire
ND⋯  Northum⋯  Northumberland
KC⋯  Ken & Ch⋯  Royal Borough of Kensington & Chelsea
NC⋯  NE Lincs⋯  North East Lincolnshire
VG⋯  V of Glam⋯  The Vale of Glamorgan
RD⋯  Roch⋯  Rochdale
HL⋯  Highld⋯  Highland
LL⋯  Lincs⋯  Lincolnshire
PL⋯  Poole⋯  Poole
NR⋯  N Tyne⋯  North Tyneside
KN⋯  Know⋯  Knowsley
WS⋯  W Susx⋯  West Sussex
YY⋯  Stock⋯  Stockport
