Local Authority	FR	DFL	TP	DLG	OS(W)	OS(NPW)	OS(P)	OS(NPP)	SIMS	OC1	OC2	Total
ADUR	14	7	1	438	173	1	24	0	24	652	174	1508
ALLERDALE	39	15	36	812	258	1	62	0	75	1109	273	2680
AMBER VALLEY	58	34	48	841	347	6	61	0	50	1184	288	2917
ARUN	16	33	37	1325	463	4	88	1	50	2298	583	4898
ASHFIELD	17	37	45	918	314	7	48	0	55	1066	264	2771
ASHFORD	12	29	53	967	353	5	103	2	47	1654	434	3659
AYLESBURY VALE	39	67	84	1399	532	4	204	0	51	2327	680	5387
BABERGH	33	5	17	549	211	13	40	0	47	1028	217	2160
BARKING AND DAGENHAM	12	60	26	1374	499	3	81	1	26	2262	451	4795
BARNET	10	370	39	3093	830	19	257	3	132	6587	1473	12813
BARNSLEY	40	28	58	1550	563	4	97	0	92	2073	464	4969
BARROW-IN-FURNESS	14	2	26	472	185	7	10	0	23	603	94	1436
BASILDON	16	48	39	1339	502	0	53	0	51	2289	576	4913
BASINGSTOKE AND DEANE	13	37	12	1205	460	15	79	0	58	2104	642	4625
BASSETLAW	44	19	24	805	315	12	48	0	70	1124	240	2701
BATH AND NORTH EAST SOMERSET	43	64	46	1380	477	5	92	0	97	2484	521	5209
BEDFORD	20	43	67	1263	415	2	165	2	63	2184	665	4889
BEXLEY	7	55	28	1758	682	8	70	0	52	2651	649	5960
BIRMINGHAM	93	231	106	6465	2092	33	383	0	422	11972	2392	24189
BLABY	13	18	45	720	287	2	74	0	34	804	231	2228
BLACKBURN WITH DARWEN	13	11	22	828	244	3	18	0	89	1471	370	3069
BLACKPOOL	26	12	4	972	396	10	16	0	52	1687	279	3454
BLAENAU GWENT	12	6	16	378	110	5	12	0	39	661	103	1342
BOLSOVER	16	17	40	514	201	2	59	0	34	753	153	1789
BOLTON	60	21	33	1707	638	11	93	0	174	3444	863	7044
BOSTON	23	15	22	443	178	1	28	0	95	683	145	1633
BOURNEMOUTH	39	123	17	1867	560	14	74	0	62	2696	782	6234
BRACKNELL FOREST	0	20	12	1017	372	6	37	0	24	1459	482	3429
BRADFORD	69	98	59	2778	1004	14	136	0	156	4939	894	10147
BRAINTREE	32	31	62	1165	456	3	71	5	73	1664	510	4072
BRECKLAND	60	9	54	984	342	2	101	2	75	1498	381	3508
BRENT	5	157	13	2198	663	15	186	0	70	5414	1013	9734
BRENTWOOD	10	22	12	673	248	0	29	1	28	1173	287	2483
BRIDGEND	8	17	47	961	325	3	71	0	50	1405	247	3134
BRIGHTON AND HOVE	9	201	17	2900	934	15	89	1	74	4699	1214	10153
BROADLAND	45	16	36	847	326	0	58	0	47	1123	300	2798
BROMLEY	14	119	23	2922	1202	17	84	0	67	4590	1266	10304
BROMSGROVE	25	60	35	785	273	1	55	0	42	1090	287	2653
BROXBOURNE	11	24	16	710	242	1	19	0	24	1216	300	2563
BROXTOWE	22	11	15	773	285	2	24	0	31	1227	199	2589
