item-code	parent-code	name	name-cy	area-type	area-type-name	area-type-level	geography-codes
E06000001	E12000001	Hartlepool		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000002	E12000001	Middlesbrough		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000003	E12000001	Redcar and Cleveland		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000004	E12000001	Stockton-on-Tees		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000005	E12000001	Darlington		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000006	E12000002	Halton		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000007	E12000002	Warrington		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000008	E12000002	Blackburn with Darwen		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000009	E12000002	Blackpool		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000010	E12000003	Kingston upon Hull, City of		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000011	E12000003	East Riding of Yorkshire		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000012	E12000003	North East Lincolnshire		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000013	E12000003	North Lincolnshire		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000014	E12000003	York		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000015	E12000004	Derby		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000016	E12000004	Leicester		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000017	E12000004	Rutland		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000018	E12000004	Nottingham		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000019	E12000005	Herefordshire, County of		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000020	E12000005	Telford and Wrekin		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000021	E12000005	Stoke-on-Trent		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000022	E12000009	Bath and North East Somerset		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000023	E12000009	Bristol, City of		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000024	E12000009	North Somerset		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000025	E12000009	South Gloucestershire		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000026	E12000009	Plymouth		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000027	E12000009	Torbay		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000028	E12000009	Bournemouth		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000029	E12000009	Poole		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000030	E12000009	Swindon		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000031	E12000006	Peterborough		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000032	E12000006	Luton		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000033	E12000006	Southend-on-Sea		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000034	E12000006	Thurrock		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000035	E12000008	Medway		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000036	E12000008	Bracknell Forest		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000037	E12000008	West Berkshire		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000038	E12000008	Reading		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000039	E12000008	Slough		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000040	E12000008	Windsor and Maidenhead		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000041	E12000008	Wokingham		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000042	E12000008	Milton Keynes		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000043	E12000008	Brighton and Hove		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000044	E12000008	Portsmouth		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000045	E12000008	Southampton		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
E06000046	E12000008	Isle of Wight		UA	Unitary Authority	5	2014WARDH,2013WARDH,2012WARDH,2011WARDH
