Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
Adur	http://opendatacommunities.org/id/district-council/adur	E07000223	E3831	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Allerdale	http://opendatacommunities.org/id/district-council/allerdale	E07000026	E0931	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Amber Valley	http://opendatacommunities.org/id/district-council/amber-valley	E07000032	E1031	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Arun	http://opendatacommunities.org/id/district-council/arun	E07000224	E3832	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Ashfield	http://opendatacommunities.org/id/district-council/ashfield	E07000170	E3031	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Ashford	http://opendatacommunities.org/id/district-council/ashford	E07000105	E2231	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Avon & Somerset Police Authority	http://opendatacommunities.org/id/police-authority/avon-somerset			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Avon Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/avon			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Aylesbury Vale	http://opendatacommunities.org/id/district-council/aylesbury-vale	E07000004	E0431	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Babergh	http://opendatacommunities.org/id/district-council/babergh	E07000200	E3531	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Barking and Dagenham	http://opendatacommunities.org/id/london-borough-council/barking-and-dagenham	E09000002	E5030	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Barnet	http://opendatacommunities.org/id/london-borough-council/barnet	E09000003	E5031	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Barnsley	http://opendatacommunities.org/id/metropolitan-district-council/barnsley	E08000016	E4401	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Barrow-in-Furness	http://opendatacommunities.org/id/district-council/barrow-in-furness	E07000027	E0932	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Basildon	http://opendatacommunities.org/id/district-council/basildon	E07000066	E1531	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Basingstoke and Deane	http://opendatacommunities.org/id/district-council/basingstoke	E07000084	E1731	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bassetlaw	http://opendatacommunities.org/id/district-council/bassetlaw	E07000171	E3032	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bath and North East Somerset	http://opendatacommunities.org/id/unitary-authority/bath-and-north-east-somerset	E06000022	E0101	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bedford	http://opendatacommunities.org/id/unitary-authority/bedford	E06000055	E0202	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bedfordshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/bedfordshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Bedfordshire Police Authority	http://opendatacommunities.org/id/police-authority/bedfordshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Berkshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/berkshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Bexley	http://opendatacommunities.org/id/london-borough-council/bexley	E09000004	E5032	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Birmingham	http://opendatacommunities.org/id/metropolitan-district-council/birmingham	E08000025	E4601	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Blaby	http://opendatacommunities.org/id/district-council/blaby	E07000129	E2431	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Blackburn with Darwen	http://opendatacommunities.org/id/unitary-authority/blackburn	E06000008	E2301	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Blackpool	http://opendatacommunities.org/id/unitary-authority/blackpool	E06000009	E2302	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bolsover	http://opendatacommunities.org/id/district-council/bolsover	E07000033	E1032	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bolton	http://opendatacommunities.org/id/metropolitan-district-council/bolton	E08000001	E4201	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Boston	http://opendatacommunities.org/id/district-council/boston	E07000136	E2531	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bournemouth	http://opendatacommunities.org/id/unitary-authority/bournemouth	E06000028	E1202	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bracknell Forest	http://opendatacommunities.org/id/unitary-authority/bracknell-forest	E06000036	E0301	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bradford	http://opendatacommunities.org/id/metropolitan-district-council/bradford	E08000032	E4701	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Braintree	http://opendatacommunities.org/id/district-council/braintree	E07000067	E1532	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Breckland	http://opendatacommunities.org/id/district-council/breckland	E07000143	E2631	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Brent	http://opendatacommunities.org/id/london-borough-council/brent	E09000005	E5033	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Brentwood	http://opendatacommunities.org/id/district-council/brentwood	E07000068	E1533	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Brighton and Hove	http://opendatacommunities.org/id/unitary-authority/brighton-and-hove	E06000043	E1401	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Bristol, City of	http://opendatacommunities.org/id/unitary-authority/bristol	E06000023	E0102	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Broadland	http://opendatacommunities.org/id/district-council/broadland	E07000144	E2632	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bromley	http://opendatacommunities.org/id/london-borough-council/bromley	E09000006	E5034	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Bromsgrove	http://opendatacommunities.org/id/district-council/bromsgrove	E07000234	E1831	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Broxbourne	http://opendatacommunities.org/id/district-council/broxbourne	E07000095	E1931	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Broxtowe	http://opendatacommunities.org/id/district-council/broxtowe	E07000172	E3033	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Buckinghamshire	http://opendatacommunities.org/id/county-council/buckinghamshire	E10000002	E0421	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Buckinghamshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/buckinghamshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Burnley	http://opendatacommunities.org/id/district-council/burnley	E07000117	E2333	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Bury	http://opendatacommunities.org/id/metropolitan-district-council/bury	E08000002	E4202	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Calderdale	http://opendatacommunities.org/id/metropolitan-district-council/calderdale	E08000033	E4702	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Cambridge	http://opendatacommunities.org/id/district-council/cambridge	E07000008	E0531	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Cambridgeshire	http://opendatacommunities.org/id/county-council/cambridgeshire	E10000003	E0521	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Cambridgeshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/cambridgeshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Cambridgeshire Police Authority	http://opendatacommunities.org/id/police-authority/cambridgeshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Camden	http://opendatacommunities.org/id/london-borough-council/camden	E09000007	E5011	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Cannock Chase	http://opendatacommunities.org/id/district-council/cannock-chase	E07000192	E3431	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Canterbury	http://opendatacommunities.org/id/district-council/canterbury	E07000106	E2232	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Carlisle	http://opendatacommunities.org/id/district-council/carlisle	E07000028	E0933	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Castle Point	http://opendatacommunities.org/id/district-council/castle-point	E07000069	E1534	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Central Bedfordshire	http://opendatacommunities.org/id/unitary-authority/central-bedfordshire	E06000056	E0203	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Charnwood	http://opendatacommunities.org/id/district-council/charnwood	E07000130	E2432	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Chelmsford	http://opendatacommunities.org/id/district-council/chelmsford	E07000070	E1535	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Cheltenham	http://opendatacommunities.org/id/district-council/cheltenham	E07000078	E1631	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Cherwell	http://opendatacommunities.org/id/district-council/cherwell	E07000177	E3131	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Cheshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/cheshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Cheshire East	http://opendatacommunities.org/id/unitary-authority/cheshire-east	E06000049	E0603	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Cheshire Police Authority	http://opendatacommunities.org/id/police-authority/cheshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Cheshire West and Chester	http://opendatacommunities.org/id/unitary-authority/cheshire-west-and-chester	E06000050	E0604	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Chesterfield	http://opendatacommunities.org/id/district-council/chesterfield	E07000034	E1033	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Chichester	http://opendatacommunities.org/id/district-council/chichester	E07000225	E3833	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Chiltern	http://opendatacommunities.org/id/district-council/chiltern	E07000005	E0432	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Chorley	http://opendatacommunities.org/id/district-council/chorley	E07000118	E2334	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Christchurch	http://opendatacommunities.org/id/district-council/christchurch	E07000048	E1232	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
City of London	http://opendatacommunities.org/id/london-borough-council/city-of-london	E09000001	E5010	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Cleveland Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/cleveland			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Cleveland Police Authority	http://opendatacommunities.org/id/police-authority/cleveland			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Colchester	http://opendatacommunities.org/id/district-council/colchester	E07000071	E1536	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Copeland	http://opendatacommunities.org/id/district-council/copeland	E07000029	E0934	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Corby	http://opendatacommunities.org/id/district-council/corby	E07000150	E2831	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Cornwall	http://opendatacommunities.org/id/unitary-authority/cornwall	E06000052	E0801	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Cotswold	http://opendatacommunities.org/id/district-council/cotswold	E07000079	E1632	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
County Durham	http://opendatacommunities.org/id/unitary-authority/county-durham	E06000047	E1302	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Coventry	http://opendatacommunities.org/id/metropolitan-district-council/coventry	E08000026	E4602	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Craven	http://opendatacommunities.org/id/district-council/craven	E07000163	E2731	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Crawley	http://opendatacommunities.org/id/district-council/crawley	E07000226	E3834	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Croydon	http://opendatacommunities.org/id/london-borough-council/croydon	E09000008	E5035	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Cumbria	http://opendatacommunities.org/id/county-council/cumbria	E10000006	E0920	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Cumbria Police Authority	http://opendatacommunities.org/id/police-authority/cumbria			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Dacorum	http://opendatacommunities.org/id/district-council/dacorum	E07000096	E1932	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Darlington	http://opendatacommunities.org/id/unitary-authority/darlington	E06000005	E1301	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Dartford	http://opendatacommunities.org/id/district-council/dartford	E07000107	E2233	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Dartmoor National Park Authority	http://opendatacommunities.org/id/national-park-authority/dartmoor			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
Daventry	http://opendatacommunities.org/id/district-council/daventry	E07000151	E2832	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Derby	http://opendatacommunities.org/id/unitary-authority/derby	E06000015	E1001	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Derbyshire	http://opendatacommunities.org/id/county-council/derbyshire	E10000007	E1021	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Derbyshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/derbyshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Derbyshire Dales	http://opendatacommunities.org/id/district-council/derbyshire-dales	E07000035	E1035	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Derbyshire Police Authority	http://opendatacommunities.org/id/police-authority/derbyshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Devon	http://opendatacommunities.org/id/county-council/devon	E10000008	E1121	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Devon & Cornwall Police Authority	http://opendatacommunities.org/id/police-authority/devon-cornwall			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Devon and Somerset Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/devon-and-somerset			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Doncaster	http://opendatacommunities.org/id/metropolitan-district-council/doncaster	E08000017	E4402	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Dorset	http://opendatacommunities.org/id/county-council/dorset	E10000009	E1221	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Dorset Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/dorset			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Dorset Police Authority	http://opendatacommunities.org/id/police-authority/dorset			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Dover	http://opendatacommunities.org/id/district-council/dover	E07000108	E2234	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Dudley	http://opendatacommunities.org/id/metropolitan-district-council/dudley	E08000027	E4603	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Durham Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/durham			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Durham Police Authority	http://opendatacommunities.org/id/police-authority/durham			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Ealing	http://opendatacommunities.org/id/london-borough-council/ealing	E09000009	E5036	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
East Cambridgeshire	http://opendatacommunities.org/id/district-council/east-cambridgeshire	E07000009	E0532	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Devon	http://opendatacommunities.org/id/district-council/east-devon	E07000040	E1131	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Dorset	http://opendatacommunities.org/id/district-council/east-dorset	E07000049	E1233	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Hampshire	http://opendatacommunities.org/id/district-council/east-hampshire	E07000085	E1732	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Hertfordshire	http://opendatacommunities.org/id/district-council/east-hertfordshire	E07000242	E1933	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Lindsey	http://opendatacommunities.org/id/district-council/east-lindsey	E07000137	E2532	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East London Waste Authority	http://opendatacommunities.org/id/waste-authority/east-london			Waste Authority	http://opendatacommunities.org/def/local-government/WasteAuthority
East Northamptonshire	http://opendatacommunities.org/id/district-council/east-northamptonshire	E07000152	E2833	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Riding of Yorkshire	http://opendatacommunities.org/id/unitary-authority/east-riding	E06000011	E2001	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
East Staffordshire	http://opendatacommunities.org/id/district-council/east-staffordshire	E07000193	E3432	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
East Sussex	http://opendatacommunities.org/id/county-council/east-sussex	E10000011	E1421	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
East Sussex Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/east-sussex			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Eastbourne	http://opendatacommunities.org/id/district-council/eastbourne	E07000061	E1432	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Eastleigh	http://opendatacommunities.org/id/district-council/eastleigh	E07000086	E1733	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Eden	http://opendatacommunities.org/id/district-council/eden	E07000030	E0935	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Elmbridge	http://opendatacommunities.org/id/district-council/elmbridge	E07000207	E3631	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Enfield	http://opendatacommunities.org/id/london-borough-council/enfield	E09000010	E5037	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Epping Forest	http://opendatacommunities.org/id/district-council/epping-forest	E07000072	E1537	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Epsom and Ewell	http://opendatacommunities.org/id/district-council/epsom-and-ewell	E07000208	E3632	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Erewash	http://opendatacommunities.org/id/district-council/erewash	E07000036	E1036	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Essex	http://opendatacommunities.org/id/county-council/essex	E10000012	E1521	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Essex Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/essex			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Essex Police Authority (new)	http://opendatacommunities.org/id/police-authority/essex			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Exeter	http://opendatacommunities.org/id/district-council/exeter	E07000041	E1132	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Exmoor National Park Authority	http://opendatacommunities.org/id/national-park-authority/exmoor			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
Fareham	http://opendatacommunities.org/id/district-council/fareham	E07000087	E1734	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Fenland	http://opendatacommunities.org/id/district-council/fenland	E07000010	E0533	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Forest Heath	http://opendatacommunities.org/id/district-council/forest-heath	E07000201	E3532	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Forest of Dean	http://opendatacommunities.org/id/district-council/forest-of-dean	E07000080	E1633	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Fylde	http://opendatacommunities.org/id/district-council/fylde	E07000119	E2335	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Gateshead	http://opendatacommunities.org/id/metropolitan-district-council/gateshead	E08000037	E4501	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Gedling	http://opendatacommunities.org/id/district-council/gedling	E07000173	E3034	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Gloucester	http://opendatacommunities.org/id/district-council/gloucester	E07000081	E1634	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Gloucestershire	http://opendatacommunities.org/id/county-council/gloucestershire	E10000013	E1620	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Gloucestershire Police Authority	http://opendatacommunities.org/id/police-authority/gloucestershire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Gosport	http://opendatacommunities.org/id/district-council/gosport	E07000088	E1735	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Gravesham	http://opendatacommunities.org/id/district-council/gravesham	E07000109	E2236	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Great Yarmouth	http://opendatacommunities.org/id/district-council/great-yarmouth	E07000145	E2633	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Greater Manchester Fire & CD Authority	http://opendatacommunities.org/id/fire-authority/greater-manchester			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Greater Manchester Police Authority	http://opendatacommunities.org/id/police-authority/greater-manchester			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Greater Manchester Waste Disposal Authority	http://opendatacommunities.org/id/waste-authority/greater-manchester			Waste Authority	http://opendatacommunities.org/def/local-government/WasteAuthority
Greenwich	http://opendatacommunities.org/id/london-borough-council/greenwich	E09000011	E5012	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Guildford	http://opendatacommunities.org/id/district-council/guildford	E07000209	E3633	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Hackney	http://opendatacommunities.org/id/london-borough-council/hackney	E09000012	E5013	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Halton	http://opendatacommunities.org/id/unitary-authority/halton	E06000006	E0601	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Hambleton	http://opendatacommunities.org/id/district-council/hambleton	E07000164	E2732	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Hammersmith and Fulham	http://opendatacommunities.org/id/london-borough-council/hammersmith-and-fulham	E09000013	E5014	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Hampshire	http://opendatacommunities.org/id/county-council/hampshire	E10000014	E1721	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Hampshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/hampshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
