NAME,AREA_CODE,DESCRIPTIO,FILE_NAME,NUMBER,NUMBER0,POLYGON_ID,UNIT_ID,CODE,HECTARES,AREA,TYPE_CODE,DESCRIPT0,TYPE_COD0,DESCRIPT1
Wycombe District,DIS,District,BUCKINGHAMSHIRE_COUNTY,5,377,51844,11882,E07000007,32457.210,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Bucks District,DIS,District,BUCKINGHAMSHIRE_COUNTY,7,403,51574,11693,E07000006,14127.564,0.000,AA,CIVIL ADMINISTRATION AREA,,
Chiltern District,DIS,District,BUCKINGHAMSHIRE_COUNTY,8,446,51905,11771,E07000005,19634.817,0.000,AA,CIVIL ADMINISTRATION AREA,,
Aylesbury Vale District,DIS,District,BUCKINGHAMSHIRE_COUNTY,18,597,51778,11903,E07000004,90275.325,0.000,AA,CIVIL ADMINISTRATION AREA,,
Fenland District,DIS,District,CAMBRIDGESHIRE_COUNTY,6,441,41229,1357,E07000010,54735.541,90.520,AA,CIVIL ADMINISTRATION AREA,,
South Cambridgeshire District,DIS,District,CAMBRIDGESHIRE_COUNTY,11,582,41616,1303,E07000012,90168.725,5.992,AA,CIVIL ADMINISTRATION AREA,,
East Cambridgeshire District,DIS,District,CAMBRIDGESHIRE_COUNTY,16,639,41310,1348,E07000009,65172.027,44.122,AA,CIVIL ADMINISTRATION AREA,,
Huntingdonshire District,DIS,District,CAMBRIDGESHIRE_COUNTY,23,754,41560,1470,E07000011,91254.599,8.743,AA,CIVIL ADMINISTRATION AREA,,
Cambridge District (B),DIS,District,CAMBRIDGESHIRE_COUNTY,70,781,41655,1255,E07000008,4069.877,0.000,AA,CIVIL ADMINISTRATION AREA,,
Copeland District (B),DIS,District,CUMBRIA_COUNTY,5,593,62424,12966,E07000029,77582.148,3820.783,AA,CIVIL ADMINISTRATION AREA,,
Carlisle District (B),DIS,District,CUMBRIA_COUNTY,8,654,124026,12712,E07000028,105435.848,1506.042,AA,CIVIL ADMINISTRATION AREA,,
South Lakeland District,DIS,District,CUMBRIA_COUNTY,12,779,123328,12934,E07000031,174319.085,19015.887,AA,CIVIL ADMINISTRATION AREA,,
Allerdale District (B),DIS,District,CUMBRIA_COUNTY,23,879,123466,13065,E07000026,132056.380,6276.496,AA,CIVIL ADMINISTRATION AREA,,
Eden District,DIS,District,CUMBRIA_COUNTY,31,989,124024,13049,E07000030,215647.474,0.000,AA,CIVIL ADMINISTRATION AREA,,
Barrow-in-Furness District (B),DIS,District,CUMBRIA_COUNTY,37,1009,62398,12941,E07000027,13206.382,5408.520,AA,CIVIL ADMINISTRATION AREA,,
High Peak District (B),DIS,District,DERBYSHIRE_COUNTY,1,562,53216,13755,E07000037,54025.403,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Derbyshire District,DIS,District,DERBYSHIRE_COUNTY,2,629,124963,13540,E07000039,33812.900,0.000,AA,CIVIL ADMINISTRATION AREA,,
Erewash District (B),DIS,District,DERBYSHIRE_COUNTY,6,667,53095,13264,E07000036,10963.009,0.000,AA,CIVIL ADMINISTRATION AREA,,
North East Derbyshire District,DIS,District,DERBYSHIRE_COUNTY,10,718,52963,13391,E07000038,27562.360,0.000,AA,CIVIL ADMINISTRATION AREA,,
Amber Valley District (B),DIS,District,DERBYSHIRE_COUNTY,18,781,52976,13404,E07000032,26543.782,0.000,AA,CIVIL ADMINISTRATION AREA,,
Bolsover District,DIS,District,DERBYSHIRE_COUNTY,20,818,53019,13359,E07000033,16033.459,0.000,AA,CIVIL ADMINISTRATION AREA,,
Derbyshire Dales District,DIS,District,DERBYSHIRE_COUNTY,22,954,123934,13672,E07000035,79531.792,0.000,AA,CIVIL ADMINISTRATION AREA,,
Chesterfield District (B),DIS,District,DERBYSHIRE_COUNTY,79,992,52679,13717,E07000034,6603.531,0.000,AA,CIVIL ADMINISTRATION AREA,,
North Devon District,DIS,District,DEVON_COUNTY,4,764,122024,22933,E07000043,110504.544,1901.346,AA,CIVIL ADMINISTRATION AREA,,
East Devon District,DIS,District,DEVON_COUNTY,9,952,122081,22713,E07000040,82370.456,934.871,AA,CIVIL ADMINISTRATION AREA,,
Teignbridge District,DIS,District,DEVON_COUNTY,14,1118,122084,22881,E07000045,68100.809,711.546,AA,CIVIL ADMINISTRATION AREA,,
West Devon District (B),DIS,District,DEVON_COUNTY,16,1194,122016,22767,E07000047,116471.774,362.331,AA,CIVIL ADMINISTRATION AREA,,
Mid Devon District,DIS,District,DEVON_COUNTY,22,1286,123234,22902,E07000042,91289.777,0.000,AA,CIVIL ADMINISTRATION AREA,,
Exeter District (B),DIS,District,DEVON_COUNTY,325,1335,124193,22606,E07000041,4788.838,84.538,AA,CIVIL ADMINISTRATION AREA,,
Purbeck District,DIS,District,DORSET_COUNTY,5,449,54548,14363,E07000051,42758.391,2317.159,AA,CIVIL ADMINISTRATION AREA,,
Christchurch District (B),DIS,District,DORSET_COUNTY,8,464,122206,14202,E07000048,5169.562,131.990,AA,CIVIL ADMINISTRATION AREA,,
West Dorset District,DIS,District,DORSET_COUNTY,19,631,53954,14539,E07000052,108706.244,553.381,AA,CIVIL ADMINISTRATION AREA,,
East Dorset District,DIS,District,DORSET_COUNTY,22,674,122192,14422,E07000049,35441.794,0.000,AA,CIVIL ADMINISTRATION AREA,,
North Dorset District,DIS,District,DORSET_COUNTY,23,768,54093,14451,E07000050,60921.790,0.000,AA,CIVIL ADMINISTRATION AREA,,
Weymouth and Portland District (B),DIS,District,DORSET_COUNTY,31,788,54004,14503,E07000053,4299.600,121.798,AA,CIVIL ADMINISTRATION AREA,,
Lewes District,DIS,District,EAST_SUSSEX_COUNTY,10,301,42966,2896,E07000063,29438.924,232.512,AA,CIVIL ADMINISTRATION AREA,,
Rother District,DIS,District,EAST_SUSSEX_COUNTY,17,358,43001,2852,E07000064,51815.326,640.808,AA,CIVIL ADMINISTRATION AREA,,
Wealden District,DIS,District,EAST_SUSSEX_COUNTY,25,440,122246,2678,E07000065,83626.508,126.685,AA,CIVIL ADMINISTRATION AREA,,
Eastbourne District (B),DIS,District,EAST_SUSSEX_COUNTY,28,451,43091,2632,E07000061,4552.910,136.959,AA,CIVIL ADMINISTRATION AREA,,
Hastings District (B),DIS,District,EAST_SUSSEX_COUNTY,51,472,43131,2583,E07000062,3083.193,110.763,AA,CIVIL ADMINISTRATION AREA,,
Brentwood District (B),DIS,District,ESSEX_COUNTY,1,658,66040,19984,E07000068,15312.410,0.000,AA,CIVIL ADMINISTRATION AREA,,
Rochford District,DIS,District,ESSEX_COUNTY,6,688,65665,19625,E07000075,26341.107,9391.564,AA,CIVIL ADMINISTRATION AREA,,
Epping Forest District,DIS,District,ESSEX_COUNTY,11,752,66024,19968,E07000072,33898.398,0.000,AA,CIVIL ADMINISTRATION AREA,,
Tendring District,DIS,District,ESSEX_COUNTY,16,819,65579,19547,E07000076,36581.791,2808.114,AA,CIVIL ADMINISTRATION AREA,,
Uttlesford District,DIS,District,ESSEX_COUNTY,17,902,66089,20033,E07000077,64118.280,0.000,AA,CIVIL ADMINISTRATION AREA,,
Chelmsford District (B),DIS,District,ESSEX_COUNTY,21,957,65747,19701,E07000070,34299.725,75.131,AA,CIVIL ADMINISTRATION AREA,,
Colchester District (B),DIS,District,ESSEX_COUNTY,27,1015,65602,19569,E07000071,34671.325,1352.828,AA,CIVIL ADMINISTRATION AREA,,
Maldon District (B),DIS,District,ESSEX_COUNTY,28,1066,65521,19501,E07000074,42668.833,6850.446,AA,CIVIL ADMINISTRATION AREA,,
Braintree District,DIS,District,ESSEX_COUNTY,29,1158,65847,19795,E07000067,61170.795,0.000,AA,CIVIL ADMINISTRATION AREA,,
Harlow District,DIS,District,ESSEX_COUNTY,41,1177,66137,20080,E07000073,3053.789,0.000,AA,CIVIL ADMINISTRATION AREA,,
Basildon District (B),DIS,District,ESSEX_COUNTY,44,1203,123286,19739,E07000066,11044.585,42.065,AA,CIVIL ADMINISTRATION AREA,,
Castle Point District (B),DIS,District,ESSEX_COUNTY,59,1225,65467,19459,E07000069,6369.849,1862.804,AA,CIVIL ADMINISTRATION AREA,,
Forest of Dean District,DIS,District,GLOUCESTERSHIRE_COUNTY,14,539,124216,20508,E07000080,56143.215,3513.884,AA,CIVIL ADMINISTRATION AREA,,
Cotswold District,DIS,District,GLOUCESTERSHIRE_COUNTY,21,691,57355,20224,E07000079,116452.442,0.000,AA,CIVIL ADMINISTRATION AREA,,
Stroud District,DIS,District,GLOUCESTERSHIRE_COUNTY,24,772,124228,20571,E07000082,47617.314,1552.303,AA,CIVIL ADMINISTRATION AREA,,
Tewkesbury District (B),DIS,District,GLOUCESTERSHIRE_COUNTY,29,846,57513,20380,E07000083,41497.587,56.158,AA,CIVIL ADMINISTRATION AREA,,
Gloucester District (B),DIS,District,GLOUCESTERSHIRE_COUNTY,93,878,57524,20391,E07000081,4082.658,27.355,AA,CIVIL ADMINISTRATION AREA,,
Cheltenham District (B),DIS,District,GLOUCESTERSHIRE_COUNTY,106,906,57403,20272,E07000078,4659.608,0.000,AA,CIVIL ADMINISTRATION AREA,,
Basingstoke and Deane District (B),DIS,District,HAMPSHIRE_COUNTY,8,679,64411,17653,E07000084,63381.724,0.000,AA,CIVIL ADMINISTRATION AREA,,
New Forest District,DIS,District,HAMPSHIRE_COUNTY,9,751,122241,17733,E07000091,77690.900,2386.901,AA,CIVIL ADMINISTRATION AREA,,
Eastleigh District (B),DIS,District,HAMPSHIRE_COUNTY,10,782,122250,17596,E07000086,8526.796,550.369,AA,CIVIL ADMINISTRATION AREA,,
East Hampshire District,DIS,District,HAMPSHIRE_COUNTY,24,867,64067,17315,E07000085,51443.204,0.000,AA,CIVIL ADMINISTRATION AREA,,
Winchester District (B),DIS,District,HAMPSHIRE_COUNTY,26,933,64514,17754,E07000094,66107.067,9.628,AA,CIVIL ADMINISTRATION AREA,,
Test Valley District,DIS,District,HAMPSHIRE_COUNTY,30,1018,122191,43511,E07000093,62762.179,3.145,AA,CIVIL ADMINISTRATION AREA,,
Hart District,DIS,District,HAMPSHIRE_COUNTY,40,1056,64242,17486,E07000089,21526.513,0.000,AA,CIVIL ADMINISTRATION AREA,,
Gosport District (B),DIS,District,HAMPSHIRE_COUNTY,73,1079,64132,17378,E07000088,2757.782,224.879,AA,CIVIL ADMINISTRATION AREA,,
Fareham District (B),DIS,District,HAMPSHIRE_COUNTY,79,1098,64300,17544,E07000087,7779.974,355.657,AA,CIVIL ADMINISTRATION AREA,,
Havant District (B),DIS,District,HAMPSHIRE_COUNTY,84,1114,64049,17297,E07000090,7909.948,2372.645,AA,CIVIL ADMINISTRATION AREA,,
Rushmoor District (B),DIS,District,HAMPSHIRE_COUNTY,106,1132,64025,17275,E07000092,3904.512,0.000,AA,CIVIL ADMINISTRATION AREA,,
Three Rivers District,DIS,District,HERTFORDSHIRE_COUNTY,1,416,44310,3826,E07000102,8882.425,0.000,AA,CIVIL ADMINISTRATION AREA,,
Hertsmere District (B),DIS,District,HERTFORDSHIRE_COUNTY,2,438,126845,3708,E07000098,10112.811,0.000,AA,CIVIL ADMINISTRATION AREA,,
Broxbourne District (B),DIS,District,HERTFORDSHIRE_COUNTY,6,451,44103,3623,E07000095,5144.220,0.000,AA,CIVIL ADMINISTRATION AREA,,
Dacorum District (B),DIS,District,HERTFORDSHIRE_COUNTY,9,496,44140,3923,E07000096,21247.634,0.000,AA,CIVIL ADMINISTRATION AREA,,
East Hertfordshire District,DIS,District,HERTFORDSHIRE_COUNTY,10,577,44009,3679,E07000242,47566.918,0.000,AA,CIVIL ADMINISTRATION AREA,,
St. Albans District (B),DIS,District,HERTFORDSHIRE_COUNTY,14,610,44271,3876,E07000240,16120.590,0.000,AA,CIVIL ADMINISTRATION AREA,,
Welwyn Hatfield District (B),DIS,District,HERTFORDSHIRE_COUNTY,18,637,43968,3728,E07000241,12953.692,0.000,AA,CIVIL ADMINISTRATION AREA,,
North Hertfordshire District,DIS,District,HERTFORDSHIRE_COUNTY,22,700,44204,3897,E07000099,37538.234,0.000,AA,CIVIL ADMINISTRATION AREA,,
Watford District (B),DIS,District,HERTFORDSHIRE_COUNTY,39,719,126827,3796,E07000103,2143.032,0.000,AA,CIVIL ADMINISTRATION AREA,,
Stevenage District (B),DIS,District,HERTFORDSHIRE_COUNTY,95,745,43984,3744,E07000243,2596.930,0.000,AA,CIVIL ADMINISTRATION AREA,,
Tunbridge Wells District (B),DIS,District,KENT_COUNTY,1,692,122248,18650,E07000116,33132.895,0.000,AA,CIVIL ADMINISTRATION AREA,,
Shepway District,DIS,District,KENT_COUNTY,3,737,124068,18085,E07000112,36551.523,875.041,AA,CIVIL ADMINISTRATION AREA,,
Sevenoaks District,DIS,District,KENT_COUNTY,4,795,122320,18593,E07000111,37034.689,0.000,AA,CIVIL ADMINISTRATION AREA,,
Tonbridge and Malling District (B),DIS,District,KENT_COUNTY,6,849,122322,18343,E07000115,24097.332,84.801,AA,CIVIL ADMINISTRATION AREA,,
Thanet District,DIS,District,KENT_COUNTY,7,885,69151,18130,E07000114,11233.888,899.979,AA,CIVIL ADMINISTRATION AREA,,
Ashford District (B),DIS,District,KENT_COUNTY,8,964,124075,18232,E07000105,58061.731,0.000,AA,CIVIL ADMINISTRATION AREA,,
Canterbury District (B),DIS,District,KENT_COUNTY,16,1018,69161,18139,E07000106,32088.931,1200.573,AA,CIVIL ADMINISTRATION AREA,,
Dover District,DIS,District,KENT_COUNTY,18,1076,68995,17977,E07000108,32082.734,576.119,AA,CIVIL ADMINISTRATION AREA,,
Maidstone District (B),DIS,District,KENT_COUNTY,23,1147,69248,18224,E07000110,39335.069,1.809,AA,CIVIL ADMINISTRATION AREA,,
Swale District (B),DIS,District,KENT_COUNTY,24,1211,69266,18242,E07000113,42209.543,4762.876,AA,CIVIL ADMINISTRATION AREA,,
Dartford District (B),DIS,District,KENT_COUNTY,68,1252,122327,18638,E07000107,7631.039,354.642,AA,CIVIL ADMINISTRATION AREA,,
Gravesham District (B),DIS,District,KENT_COUNTY,71,1279,122329,18515,E07000109,10495.884,593.871,AA,CIVIL ADMINISTRATION AREA,,
West Lancashire District (B),DIS,District,LANCASHIRE_COUNTY,3,610,45636,4912,E07000127,38109.498,3431.106,AA,CIVIL ADMINISTRATION AREA,,
Lancaster District (B),DIS,District,LANCASHIRE_COUNTY,8,679,121923,4925,E07000121,65421.014,7007.677,AA,CIVIL ADMINISTRATION AREA,,
Chorley District (B),DIS,District,LANCASHIRE_COUNTY,10,725,117525,4768,E07000118,20290.544,10.890,AA,CIVIL ADMINISTRATION AREA,,
South Ribble District (B),DIS,District,LANCASHIRE_COUNTY,11,758,45736,4834,E07000126,11461.505,165.949,AA,CIVIL ADMINISTRATION AREA,,
Rossendale District (B),DIS,District,LANCASHIRE_COUNTY,14,776,45606,4572,E07000125,13804.081,0.000,AA,CIVIL ADMINISTRATION AREA,,
Fylde District (B),DIS,District,LANCASHIRE_COUNTY,15,814,124004,4985,E07000119,18263.340,1686.292,AA,CIVIL ADMINISTRATION AREA,,
Preston District (B),DIS,District,LANCASHIRE_COUNTY,17,848,45666,4853,E07000123,14294.477,65.112,AA,CIVIL ADMINISTRATION AREA,,
Wyre District (B),DIS,District,LANCASHIRE_COUNTY,19,896,45646,4922,E07000128,32903.022,4691.574,AA,CIVIL ADMINISTRATION AREA,,
Pendle District (B),DIS,District,LANCASHIRE_COUNTY,28,941,123567,43744,E07000122,16938.014,0.000,AA,CIVIL ADMINISTRATION AREA,,
Ribble Valley District (B),DIS,District,LANCASHIRE_COUNTY,32,1016,45125,4713,E07000124,58447.153,0.000,AA,CIVIL ADMINISTRATION AREA,,
Hyndburn District (B),DIS,District,LANCASHIRE_COUNTY,69,1046,45572,4627,E07000120,7299.748,0.000,AA,CIVIL ADMINISTRATION AREA,,
Burnley District (B),DIS,District,LANCASHIRE_COUNTY,75,1074,45600,4566,E07000117,11068.403,0.000,AA,CIVIL ADMINISTRATION AREA,,
Hinckley and Bosworth District (B),DIS,District,LEICESTERSHIRE_COUNTY,3,481,58185,23555,E07000132,29734.936,0.000,AA,CIVIL ADMINISTRATION AREA,,
North West Leicestershire District,DIS,District,LEICESTERSHIRE_COUNTY,5,553,58246,23615,E07000134,27932.798,0.000,AA,CIVIL ADMINISTRATION AREA,,
Melton District (B),DIS,District,LEICESTERSHIRE_COUNTY,9,597,57980,23352,E07000133,48138.047,0.000,AA,CIVIL ADMINISTRATION AREA,,
Harborough District,DIS,District,LEICESTERSHIRE_COUNTY,10,715,57907,23279,E07000131,59269.191,0.000,AA,CIVIL ADMINISTRATION AREA,,
Blaby District,DIS,District,LEICESTERSHIRE_COUNTY,18,761,58216,23585,E07000129,13046.876,0.000,AA,CIVIL ADMINISTRATION AREA,,
Charnwood District (B),DIS,District,LEICESTERSHIRE_COUNTY,27,830,58081,23452,E07000130,27904.229,0.000,AA,CIVIL ADMINISTRATION AREA,,
Oadby and Wigston District (B),DIS,District,LEICESTERSHIRE_COUNTY,69,850,58042,23413,E07000135,2352.607,0.000,AA,CIVIL ADMINISTRATION AREA,,
West Lindsey District,DIS,District,LINCOLNSHIRE_COUNTY,6,904,46484,43527,E07000142,115765.221,192.014,AA,CIVIL ADMINISTRATION AREA,,
South Kesteven District,DIS,District,LINCOLNSHIRE_COUNTY,11,1020,46463,5557,E07000141,94258.573,0.000,AA,CIVIL ADMINISTRATION AREA,,
South Holland District,DIS,District,LINCOLNSHIRE_COUNTY,18,1065,46415,5599,E07000140,81550.359,6459.154,AA,CIVIL ADMINISTRATION AREA,,
Boston District (B),DIS,District,LINCOLNSHIRE_COUNTY,22,1101,45848,5306,E07000136,39779.284,3290.284,AA,CIVIL ADMINISTRATION AREA,,
North Kesteven District,DIS,District,LINCOLNSHIRE_COUNTY,27,1207,46448,5542,E07000139,92247.132,0.000,AA,CIVIL ADMINISTRATION AREA,,
East Lindsey District,DIS,District,LINCOLNSHIRE_COUNTY,33,1434,45859,5317,E07000137,183107.284,6606.824,AA,CIVIL ADMINISTRATION AREA,,
Lincoln District (B),DIS,District,LINCOLNSHIRE_COUNTY,111,1467,46264,5716,E07000138,3569.019,0.000,AA,CIVIL ADMINISTRATION AREA,,
Great Yarmouth District (B),DIS,District,NORFOLK_COUNTY,7,1018,47592,6392,E07000145,18247.202,800.133,AA,CIVIL ADMINISTRATION AREA,,
South Norfolk District,DIS,District,NORFOLK_COUNTY,8,1174,47297,6724,E07000149,90890.662,120.144,AA,CIVIL ADMINISTRATION AREA,,
King's Lynn and West Norfolk District (B),DIS,District,NORFOLK_COUNTY,14,1324,47869,7016,E07000146,152759.861,8924.667,AA,CIVIL ADMINISTRATION AREA,,
Breckland District,DIS,District,NORFOLK_COUNTY,21,1469,47905,6917,E07000143,130511.665,0.000,AA,CIVIL ADMINISTRATION AREA,,
Norwich District (B),DIS,District,NORFOLK_COUNTY,106,1600,47246,6759,E07000148,4055.412,153.063,AA,CIVIL ADMINISTRATION AREA,,
