gaz50k	county	name
LO	C of Lon	City of London
AG	Angus	Angus
RD	Roch	Rochdale
BC	Brackn	Bracknell Forest
YY	Stock	Stockport
YS	Sou-on-Sea	Southend-on-Sea
RH	Rho Cyn Taf	Rhondda,Cynon,Taff
ES	E Susx	East Sussex
WH	C of Wolv	City of Wolverhampton
WF	Wal F	Waltham Forest
DE	Denb	Denbighshire
LL	Lincs	Lincolnshire
WB	W Berks	West Berkshire
KC	Ken & Ch	Royal Borough of Kensington & Chelsea
HN	Hack	Hackney
FF	Fife	Fife
TH	T Ham	Tower Hamlets
SM	Stock on T	Stockton on Tees
WE	Wakf	Wakefield
BZ	C of Bris	City of Bristol
HE	Heref	Herefordshire
WX	Wrex	Wrexham
YT	Slough	Slough
WK	Warw	Warwickshire
WG	Warr	Warrington
CW	Conwy	Conwy
HP	Hants	Hampshire
WA	Wals	Walsall
CA	Cald	Calderdale
AB	Aberd	Aberdeenshire
GY	Gwyn	Gwynedd
NE	Newp	Newport
EX	Essex	Essex
GL	C of Glas	Glasgow City
BR	Brom	Bromley
SX	S Ayr	South Ayrshire
LN	Luton	Luton
SI	Shetld	Shetland Islands
HD	Herts	Hertfordshire
KN	Know	Knowsley
WN	Wigan	Wigan
KG	King	Kingston upon Thames
NS	N Som	North Somerset
OK	Orkney	Orkney Islands
RE	Renf	Renfrewshire
IL	Isling	Islington
PY	C of Plym	City of Plymouth
HS	Houns	Hounslow
WC	Win & Maid	Windsor and Maidenhead
BN	Barnet	Barnet
TB	Torbay	Torbay
TR	Traf	Trafford
EN	Enf	Enfield
HA	Halton	Halton
NW	N upon Ty	Newcastle upon Tyne
FL	Flint	Flintshire
SD	Swin	Swindon
BE	Brig	Bridgend
WI	N Eil	Na h-Eileanan an Iar
CN	Corn	Cornwall
HG	Hargy	Haringey
SW	Sthwk	Southwark
SN	St Hel	St Helens
SZ	Sutton	Sutton
BK	C Beds	Central Bedfordshire
EY	E Yorks	East Riding of Yorkshire
WO	Worcs	Worcestershire
ER	E Renf	East Renfrewshire
BB	Black w Dar	Blackburn with Darwen
NA	N Ayr	North Ayrshire
XX	0	XXXXXXXX
WT	Wilts	Wiltshire
CY	Croy	Croydon
WJ	Wok	Wokingham
MM	Monm	Monmouthshire
ED	E Dunb	East Dunbartonshire
HL	Highld	Highland
LD	Leeds	Leeds
TU	Thurr	Thurrock
