iso-code	bs-6879	name	category	parent
GB-BKM	BKM	Buckinghamshire	two-tier county	ENG
GB-CAM	CAM	Cambridgeshire	two-tier county	ENG
GB-CMA	CMA	Cumbria	two-tier county	ENG
GB-DBY	DBY	Derbyshire	two-tier county	ENG
GB-DEV	DEV	Devon	two-tier county	ENG
GB-DOR	DOR	Dorset	two-tier county	ENG
GB-ESX	ESX	East Sussex	two-tier county	ENG
GB-ESS	ESS	Essex	two-tier county	ENG
GB-GLS	GLS	Gloucestershire	two-tier county	ENG
GB-HAM	HAM	Hampshire	two-tier county	ENG
GB-HRT	HRT	Hertfordshire	two-tier county	ENG
GB-KEN	KEN	Kent	two-tier county	ENG
GB-LAN	LAN	Lancashire	two-tier county	ENG
GB-LEC	LEC	Leicestershire	two-tier county	ENG
GB-LIN	LIN	Lincolnshire	two-tier county	ENG
GB-NFK	NFK	Norfolk	two-tier county	ENG
GB-NYK	NYK	North Yorkshire	two-tier county	ENG
GB-NTH	NTH	Northamptonshire	two-tier county	ENG
GB-NTT	NTT	Nottinghamshire	two-tier county	ENG
GB-OXF	OXF	Oxfordshire	two-tier county	ENG
GB-SOM	SOM	Somerset	two-tier county	ENG
GB-STS	STS	Staffordshire	two-tier county	ENG
GB-SFK	SFK	Suffolk	two-tier county	ENG
GB-SRY	SRY	Surrey	two-tier county	ENG
GB-WAR	WAR	Warwickshire	two-tier county	ENG
GB-WSX	WSX	West Sussex	two-tier county	ENG
GB-WOR	WOR	Worcestershire	two-tier county	ENG
GB-LND	LND	London, City of	city corporation	ENG
GB-BDG	BDG	Barking and Dagenham	London borough	ENG
GB-BNE	BNE	Barnet	London borough	ENG
GB-BEX	BEX	Bexley	London borough	ENG
GB-BEN	BEN	Brent	London borough	ENG
GB-BRY	BRY	Bromley	London borough	ENG
GB-CMD	CMD	Camden	London borough	ENG
GB-CRY	CRY	Croydon	London borough	ENG
GB-EAL	EAL	Ealing	London borough	ENG
GB-ENF	ENF	Enfield	London borough	ENG
GB-GRE	GRE	Greenwich	London borough	ENG
GB-HCK	HCK	Hackney	London borough	ENG
GB-HMF	HMF	Hammersmith and Fulham	London borough	ENG
GB-HRY	HRY	Haringey	London borough	ENG
GB-HRW	HRW	Harrow	London borough	ENG
GB-HAV	HAV	Havering	London borough	ENG
GB-HIL	HIL	Hillingdon	London borough	ENG
GB-HNS	HNS	Hounslow	London borough	ENG
GB-ISL	ISL	Islington	London borough	ENG
GB-KEC	KEC	Kensington and Chelsea	London borough	ENG
GB-KTT	KTT	Kingston upon Thames	London borough	ENG
GB-LBH	LBH	Lambeth	London borough	ENG
GB-LEW	LEW	Lewisham	London borough	ENG
GB-MRT	MRT	Merton	London borough	ENG
GB-NWM	NWM	Newham	London borough	ENG
GB-RDB	RDB	Redbridge	London borough	ENG
GB-RIC	RIC	Richmond upon Thames	London borough	ENG
GB-SWK	SWK	Southwark	London borough	ENG
GB-STN	STN	Sutton	London borough	ENG
GB-TWH	TWH	Tower Hamlets	London borough	ENG
GB-WFT	WFT	Waltham Forest	London borough	ENG
GB-WND	WND	Wandsworth	London borough	ENG
GB-WSM	WSM	Westminster	London borough	ENG
GB-BNS	BNS	Barnsley	metropolitan district	ENG
GB-BIR	BIR	Birmingham	metropolitan district	ENG
GB-BOL	BOL	Bolton	metropolitan district	ENG
GB-BRD	BRD	Bradford	metropolitan district	ENG
GB-BUR	BUR	Bury	metropolitan district	ENG
GB-CLD	CLD	Calderdale	metropolitan district	ENG
GB-COV	COV	Coventry	metropolitan district	ENG
GB-DNC	DNC	Doncaster	metropolitan district	ENG
GB-DUD	DUD	Dudley	metropolitan district	ENG
GB-GAT	GAT	Gateshead	metropolitan district	ENG
GB-KIR	KIR	Kirklees	metropolitan district	ENG
GB-KWL	KWL	Knowsley	metropolitan district	ENG
GB-LDS	LDS	Leeds	metropolitan district	ENG
GB-LIV	LIV	Liverpool	metropolitan district	ENG
GB-MAN	MAN	Manchester	metropolitan district	ENG
GB-NET	NET	Newcastle upon Tyne	metropolitan district	ENG
GB-NTY	NTY	North Tyneside	metropolitan district	ENG
GB-OLD	OLD	Oldham	metropolitan district	ENG
GB-RCH	RCH	Rochdale	metropolitan district	ENG
GB-ROT	ROT	Rotherham	metropolitan district	ENG
GB-SHN	SHN	Saint Helens !St. Helens	metropolitan district	ENG
GB-SLF	SLF	Salford	metropolitan district	ENG
GB-SAW	SAW	Sandwell	metropolitan district	ENG
GB-SFT	SFT	Sefton	metropolitan district	ENG
GB-SHF	SHF	Sheffield	metropolitan district	ENG
GB-SOL	SOL	Solihull	metropolitan district	ENG
GB-STY	STY	South Tyneside	metropolitan district	ENG
GB-SKP	SKP	Stockport	metropolitan district	ENG
GB-SND	SND	Sunderland	metropolitan district	ENG
GB-TAM	TAM	Tameside	metropolitan district	ENG
GB-TRF	TRF	Trafford	metropolitan district	ENG
GB-WKF	WKF	Wakefield	metropolitan district	ENG
GB-WLL	WLL	Walsall	metropolitan district	ENG
GB-WGN	WGN	Wigan	metropolitan district	ENG
GB-WRL	WRL	Wirral	metropolitan district	ENG
GB-WLV	WLV	Wolverhampton	metropolitan district	ENG
GB-BAS	BAS	Bath and North East Somerset	unitary authority	ENG
GB-BDF	BDF	Bedford	unitary authority	ENG
GB-BBD	BBD	Blackburn with Darwen	unitary authority	ENG
