type	name	order	legislation-gov-uk-reference
Local Government District	Antrim and Newtownabbey	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Armagh, Banbridge and Craigavon	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Belfast	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Causeway Coast and Glens	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Derry and Strabane	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Fermanagh and Omagh	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Lisburn and Castlereagh	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Mid and East Antrim	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Mid Ulster	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	Newry, Mourne and Down	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
Local Government District	North Down and Ards	Local Government (Boundaries) Order (Northern Ireland) 2012	http://www.legislation.gov.uk/nisr/2012/421/schedule/1/made?view=plain
non-metropolitan district council	Bath and North East Somerset	The Avon (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/493/article/3/made?view=plain
non-metropolitan district council	South Gloucestershire	The Avon (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/493/article/3/made?view=plain
district council	North West Somerset	The Avon (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/493/article/4/made?view=plain
non-metropolitan district council	East Riding of Yorkshire	The Humberside (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/600/article/3/made?view=plain
non-metropolitan district council	North Lincolnshire	The Humberside (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/600/article/3/made?view=plain
non-metropolitan district council	North East Lincolnshire	The Humberside (Structural Change) Order 1995	http://www.legislation.gov.uk/uksi/1995/600/article/3/made?view=plain
district council	York	The North Yorkshire (District of York) (Structural and Boundary Changes) Order 1995	http://www.legislation.gov.uk/uksi/1995/610/article/7/made?view=plain
