NAME,AREA_CODE,DESCRIPTIO,FILE_NAME,NUMBER,NUMBER0,POLYGON_ID,UNIT_ID,CODE,HECTARES,AREA,TYPE_CODE,DESCRIPT0,TYPE_COD0,DESCRIPT1
Buckinghamshire County,CTY,County,BUCKINGHAMSHIRE_COUNTY,15,639,51776,11901,E10000002,156494.916,0.000,AA,CIVIL ADMINISTRATION AREA,,
Cambridgeshire County,CTY,County,CAMBRIDGESHIRE_COUNTY,29,821,41258,1386,E10000003,305400.769,149.376,AA,CIVIL ADMINISTRATION AREA,,
Cumbria County,CTY,County,CUMBRIA_COUNTY,26,1078,121915,13244,E10000006,718247.316,36027.728,AA,CIVIL ADMINISTRATION AREA,,
Derbyshire County,CTY,County,DERBYSHIRE_COUNTY,15,1031,124958,13688,E10000007,255076.235,0.000,AA,CIVIL ADMINISTRATION AREA,,
Dorset County,CTY,County,DORSET_COUNTY,15,821,122188,14362,E10000009,257297.381,3124.328,AA,CIVIL ADMINISTRATION AREA,,
East Sussex County,CTY,County,EAST_SUSSEX_COUNTY,16,502,122242,2625,E10000011,172516.861,1247.727,AA,CIVIL ADMINISTRATION AREA,,
Essex County,CTY,County,ESSEX_COUNTY,24,1272,65733,19687,E10000012,369530.887,22382.953,AA,CIVIL ADMINISTRATION AREA,,
Gloucestershire County,CTY,County,GLOUCESTERSHIRE_COUNTY,20,936,57752,20616,E10000013,270452.825,5149.700,AA,CIVIL ADMINISTRATION AREA,,
Hampshire County,CTY,County,HAMPSHIRE_COUNTY,20,1184,122445,17765,E10000014,373790.599,5903.225,AA,CIVIL ADMINISTRATION AREA,,
Hertfordshire County,CTY,County,HERTFORDSHIRE_COUNTY,11,799,44216,3909,E10000015,164306.486,0.000,AA,CIVIL ADMINISTRATION AREA,,
Kent County,CTY,County,KENT_COUNTY,13,1327,122240,18210,E10000016,363955.258,9349.712,AA,CIVIL ADMINISTRATION AREA,,
Lancashire County,CTY,County,LANCASHIRE_COUNTY,31,1134,121912,5156,E10000017,308300.799,17058.600,AA,CIVIL ADMINISTRATION AREA,,
Leicestershire County,CTY,County,LEICESTERSHIRE_COUNTY,8,884,58052,23423,E10000018,208378.684,0.000,AA,CIVIL ADMINISTRATION AREA,,
Lincolnshire County,CTY,County,LINCOLNSHIRE_COUNTY,28,1512,45952,5942,E10000019,610276.872,16548.277,AA,CIVIL ADMINISTRATION AREA,,
Northamptonshire County,CTY,County,NORTHAMPTONSHIRE_COUNTY,26,959,48669,7371,E10000021,236699.028,0.000,AA,CIVIL ADMINISTRATION AREA,,
North Yorkshire County,CTY,County,NORTH_YORKSHIRE_COUNTY,14,1923,60802,22028,E10000023,805294.068,1267.880,AA,CIVIL ADMINISTRATION AREA,,
Nottinghamshire County,CTY,County,NOTTINGHAMSHIRE_COUNTY,11,939,124385,8127,E10000024,208689.497,218.387,AA,CIVIL ADMINISTRATION AREA,,
Oxfordshire County,CTY,County,OXFORDSHIRE_COUNTY,32,997,49530,8328,E10000025,260594.765,0.000,AA,CIVIL ADMINISTRATION AREA,,
Somerset County,CTY,County,SOMERSET_COUNTY,5,1054,121431,10578,E10000027,351392.025,6182.138,AA,CIVIL ADMINISTRATION AREA,,
Staffordshire County,CTY,County,STAFFORDSHIRE_COUNTY,16,862,124957,15052,E10000028,262331.444,0.000,AA,CIVIL ADMINISTRATION AREA,,
Suffolk County,CTY,County,SUFFOLK_COUNTY,15,1418,55830,15934,E10000029,385357.501,5122.819,AA,CIVIL ADMINISTRATION AREA,,
Surrey County,CTY,County,SURREY_COUNTY,23,755,122243,13965,E10000030,167007.319,0.000,AA,CIVIL ADMINISTRATION AREA,,
Warwickshire County,CTY,County,WARWICKSHIRE_COUNTY,10,776,58594,10049,E10000031,197752.257,0.000,AA,CIVIL ADMINISTRATION AREA,,
West Sussex County,CTY,County,WEST_SUSSEX_COUNTY,15,754,123791,16417,E10000032,202346.329,3259.179,AA,CIVIL ADMINISTRATION AREA,,
Worcestershire County,CTY,County,WORCESTERSHIRE_COUNTY,19,760,43583,2993,E10000034,174051.430,0.000,AA,CIVIL ADMINISTRATION AREA,,
Greater London Authority,GLA,Greater London Authority,GREATER_LONDON_AUTHORITY,40,1470,117537,41441,999999999,159469.726,2118.856,AA,CIVIL ADMINISTRATION AREA,,
Norfolk County,CTY,County,NORFOLK_COUNTY,18,1653,47647,7238,E10000020,550829.042,12717.559,AA,CIVIL ADMINISTRATION AREA,,
Devon County,CTY,County,DEVON_COUNTY,13,1351,122079,23147,E10000008,663609.856,6894.962,AA,CIVIL ADMINISTRATION AREA,,
