os	name	type	parent-os
7000000000002625	East Sussex	County	
7000000000002632	Eastbourne	District	7000000000002625
7000000000002678	Wealden	District	7000000000002625
7000000000002896	Lewes	District	7000000000002625
7000000000018210	Kent	County	
7000000000018130	Thanet	District	7000000000018210
7000000000018139	Canterbury	District	7000000000018210
7000000000017977	Dover	District	7000000000018210
7000000000018085	Shepway	District	7000000000018210
7000000000019687	Essex	County	
7000000000019625	Rochford	District	7000000000019687
7000000000019501	Maldon	District	7000000000019687
7000000000018242	Swale	District	7000000000018210
7000000000018232	Ashford	District	7000000000018210
7000000000002852	Rother	District	7000000000002625
7000000000038907	Southend-on-Sea	UnitaryAuthority	
7000000000019459	Castle Point	District	7000000000019687
7000000000019701	Chelmsford	District	7000000000019687
7000000000038908	Medway	UnitaryAuthority	
7000000000018224	Maidstone	District	7000000000018210
7000000000018650	Tunbridge Wells	District	7000000000018210
7000000000002583	Hastings	District	7000000000002625
7000000000038866	Thurrock	UnitaryAuthority	
7000000000041441	Greater London	GreaterLondonAuthority	
7000000000019739	Basildon	District	7000000000019687
7000000000019984	Brentwood	District	7000000000019687
7000000000010807	Havering	LondonBorough	7000000000041441
7000000000018638	Dartford	District	7000000000018210
7000000000018515	Gravesham	District	7000000000018210
7000000000018343	Tonbridge and Malling	District	7000000000018210
7000000000018593	Sevenoaks	District	7000000000018210
7000000000019968	Epping Forest	District	7000000000019687
7000000000010929	Newham	LondonBorough	7000000000041441
7000000000010777	Greenwich	LondonBorough	7000000000041441
7000000000010955	Redbridge	LondonBorough	7000000000041441
7000000000010949	Barking and Dagenham	LondonBorough	7000000000041441
7000000000010759	Bexley	LondonBorough	7000000000041441
7000000000011213	Waltham Forest	LondonBorough	7000000000041441
7000000000010772	Bromley	LondonBorough	7000000000041441
7000000000011039	Lewisham	LondonBorough	7000000000041441
7000000000013965	Surrey	County	
7000000000013870	Tandridge	District	7000000000013965
7000000000016417	West Sussex	County	
7000000000016211	Mid Sussex	District	7000000000016417
7000000000003909	Hertfordshire	County	
7000000000011281	Islington	LondonBorough	7000000000041441
7000000000011199	Hackney	LondonBorough	7000000000041441
7000000000011378	Barnet	LondonBorough	7000000000041441
7000000000011447	Brent	LondonBorough	7000000000041441
7000000000011329	Enfield	LondonBorough	7000000000041441
7000000000011185	Tower Hamlets	LondonBorough	7000000000041441
7000000000011290	Haringey	LondonBorough	7000000000041441
7000000000011105	City and County of the City of London	LondonBorough	7000000000041441
7000000000011164	City of Westminster	LondonBorough	7000000000041441
7000000000011244	Camden	LondonBorough	7000000000041441
7000000000003708	Hertsmere	District	7000000000003909
7000000000011270	Kensington and Chelsea	LondonBorough	7000000000041441
7000000000011399	Ealing	LondonBorough	7000000000041441
7000000000011259	Hammersmith and Fulham	LondonBorough	7000000000041441
7000000000011013	Southwark	LondonBorough	7000000000041441
7000000000011144	Lambeth	LondonBorough	7000000000041441
7000000000011391	Harrow	LondonBorough	7000000000041441
7000000000003623	Broxbourne	District	7000000000003909
7000000000011412	Kingston upon Thames	LondonBorough	7000000000041441
7000000000010995	Merton	LondonBorough	7000000000041441
7000000000010873	Sutton	LondonBorough	7000000000041441
7000000000010896	Croydon	LondonBorough	7000000000041441
7000000000011427	Richmond upon Thames	LondonBorough	7000000000041441
7000000000011127	Wandsworth	LondonBorough	7000000000041441
7000000000013949	Epsom and Ewell	District	7000000000013965
7000000000011489	Hounslow	LondonBorough	7000000000041441
7000000000013893	Reigate and Banstead	District	7000000000013965
7000000000044474	Mole Valley	District	7000000000013965
7000000000016356	Crawley	District	7000000000016417
7000000000016340	Horsham	District	7000000000016417
7000000000036749	The City of Brighton and Hove	UnitaryAuthority	
7000000000016223	Adur	District	7000000000016417
7000000000011901	Buckinghamshire	County	
7000000000011771	Chiltern	District	7000000000011901
7000000000011539	Hillingdon	LondonBorough	7000000000041441
7000000000003796	Watford	District	7000000000003909
7000000000003826	Three Rivers	District	7000000000003909
7000000000011693	South Bucks	District	7000000000011901
7000000000003923	Dacorum	District	7000000000003909
7000000000038892	Windsor and Maidenhead	UnitaryAuthority	
7000000000038891	Slough	UnitaryAuthority	
7000000000013981	Elmbridge	District	7000000000013965
7000000000014060	Runnymede	District	7000000000013965
7000000000014192	Woking	District	7000000000013965
7000000000014169	Spelthorne	District	7000000000013965
7000000000014064	Surrey Heath	District	7000000000013965
7000000000014119	Waverley	District	7000000000013965
7000000000014002	Guildford	District	7000000000013965
7000000000016444	Chichester	District	7000000000016417
7000000000016438	Arun	District	7000000000016417
7000000000016261	Worthing	District	7000000000016417
7000000000015934	Suffolk	County	
7000000000007238	Norfolk	County	
7000000000015440	Waveney	District	7000000000015934
7000000000006724	South Norfolk	District	7000000000007238
7000000000006392	Great Yarmouth	District	7000000000007238
7000000000015508	Suffolk Coastal	District	7000000000015934
7000000000015674	Mid Suffolk	District	7000000000015934
7000000000015314	Ipswich	District	7000000000015934
7000000000019547	Tendring	District	7000000000019687
7000000000015692	Babergh	District	7000000000015934
7000000000006917	Breckland	District	7000000000007238
7000000000015647	St. Edmundsbury	District	7000000000015934
7000000000019569	Colchester	District	7000000000019687
7000000000015867	Forest Heath	District	7000000000015934
7000000000019795	Braintree	District	7000000000019687
7000000000001386	Cambridgeshire	County	
7000000000007016	King's Lynn and West Norfolk	District	7000000000007238
7000000000001348	East Cambridgeshire	District	7000000000001386
7000000000001303	South Cambridgeshire	District	7000000000001386
7000000000020033	Uttlesford	District	7000000000019687
7000000000001357	Fenland	District	7000000000001386
7000000000001255	Cambridge	District	7000000000001386
7000000000003679	East Hertfordshire	District	7000000000003909
7000000000003897	North Hertfordshire	District	7000000000003909
7000000000020080	Harlow	District	7000000000019687
7000000000038886	City of Peterborough	UnitaryAuthority	
7000000000001470	Huntingdonshire	District	7000000000001386
7000000000043870	Central Bedfordshire	UnitaryAuthority	
7000000000003744	Stevenage	District	7000000000003909
7000000000003728	Welwyn Hatfield	District	7000000000003909
7000000000003876	St. Albans	District	7000000000003909
7000000000007371	Northamptonshire	County	
7000000000007301	East Northamptonshire	District	7000000000007371
7000000000043871	Bedford	UnitaryAuthority	
7000000000037536	Luton	UnitaryAuthority	
7000000000011903	Aylesbury Vale	District	7000000000011901
7000000000007024	North Norfolk	District	7000000000007238
7000000000006553	Broadland	District	7000000000007238
7000000000006759	Norwich	District	7000000000007238
7000000000005942	Lincolnshire	County	
7000000000005317	East Lindsey	District	7000000000005942
7000000000005306	Boston	District	7000000000005942
7000000000005599	South Holland	District	7000000000005942
