registration-district	name	name-cy	local-authority-name
218	Barking and Dagenham		
219	Barnet		
41	Barnsley		
300	Bath and North East Somerset		
316	Bedford		
220	Bexley		
61	Birmingham		
580	Blackburn With Darwen		
581	Blackpool		
833	Blaenau Gwent		
2	Bolton		
427	Bournemouth		
318	Bracknell Forest		
83	Bradford and Keighley		Bradford
221	Brent		
861	Bridgend	Pen-y-bont ar Ogwr	
452	Brighton and Hove		
301	Bristol		
222	Bromley		
328	Buckinghamshire		
3	Bury		
863	Caerphilly	Caerffili	
86	Calderdale		
339	Cambridgeshire		
250	Camden		
890	Cardiff	Caerdydd	
822	Carmarthenshire	Sir Gaerfyrddin	
317	Central Bedfordshire		
823	Ceredigion		
342	Cheshire East		
345	Cheshire West and Chester		
846	Conwy		
371	Cornwall		
63	Coventry		
225	Croydon		
387	Cumbria		
436	Darlington		
805	Denbighshire South	De Sir Ddinbych	Denbighshire
811	Denbighshire North	Gogledd Sir Ddinbych	Denbighshire
394	Derby		
398	Derbyshire		
423	Devon		
42	Doncaster		
429	Dorset		
65	Dudley		
442	County of Durham		Durham
226	Ealing		
541	East Riding of Yorkshire		
462	East Sussex		
227	Enfield		
463	Essex		
804	Flintshire	Sir y Fflint	
51	Gateshead		
488	Gloucestershire		
229	Greenwich		
855	Gwynedd		
230	Hackney		
343	Halton		
260	Hammersmith and Fulham		
504	Hampshire		
233	Haringey		
232	Harrow		
351	Hartlepool		
234	Havering		
511	Herefordshire		
538	Hertfordshire		
236	Hillingdon		
237	Hounslow		
857	Isle of Anglesey	Ynys Môn	Isle of Anglesey
556	Isle of Wight		
360	Isles of Scilly		
238	Islington		
239	Kensington and Chelsea		
564	Kent		
240	Kingston Upon Thames		
550	Hull		Kingston-Upon-Hull
90	Kirklees		
23	Knowsley		
241	Lambeth		
591	Lancashire		
92	Leeds		
600	Leicester		
605	Leicestershire		
242	Lewisham		
609	Lincolnshire		
25	Liverpool		
243	London City		London Corporation
315	Luton		
6	Manchester		
561	Medway		
860	Merthyr Tydfil	Merthyr Tudful	
244	Merton		
348	Middlesbrough		
326	Milton Keynes		
839	Monmouthshire	Sir Fynwy	
896	Neath Port Talbot	Castell-nedd Port Talbot	
53	Newcastle Upon Tyne		
257	Newham		
836	Newport	Casnewydd	
642	Norfolk		
548	North East Lincolnshire		
554	North Lincolnshire		
307	North Somerset		
54	North Tyneside		
650	North Yorkshire		
674	Northamptonshire		
681	Northumberland		
689	Nottingham		
692	Nottinghamshire		
7	Oldham		
695	Oxfordshire		
819	Pembrokeshire	Sir Benfro	
335	Peterborough		
416	Plymouth		
431	Poole		
497	Portsmouth		
882	Powys		
320	Reading		
247	Redbridge		
349	Redcar and Cleveland		
864	Rhondda Cynon Taf		
248	Richmond Upon Thames		
9	Rochdale		
45	Rotherham		
604	Rutland		
11	Salford		
70	Sandwell		
35	Sefton		
48	Sheffield		
717	Shropshire		
321	Slough		
73	Solihull		
722	Somerset		
304	South Gloucestershire		
57	South Tyneside		
500	Southampton		
475	Southend-on-Sea		Southend-On-Sea
251	Southwark		
30	St Helens		
738	Staffordshire		
13	Stockport		
350	Stockton-on-Tees		
737	Stoke-on-Trent		
748	Suffolk		
58	Sunderland		
759	Surrey		
254	Sutton		
897	Swansea	Abertawe	
796	Swindon		
14	Tameside		
716	Telford and Wrekin		
477	Thurrock		
422	Torbay		
837	Torfaen	Tor-faen	
246	Tower Hamlets		
15	Trafford		
891	Vale of Glamorgan	Bro Morgannwg	
97	Wakefield		
75	Walsall		
255	Waltham Forest		
256	Wandsworth		
346	Warrington		
776	Warwickshire		
319	West Berkshire		
785	West Sussex		
258	Westminster		
18	Wigan and Leigh		Wigan
799	Wiltshire		
322	Windsor and Maidenhead		
37	Wirral		
323	Wokingham		
77	Wolverhampton		
527	Worcestershire		
813	Wrexham	Wrecsam	
661	York		
