official-name	official-name-cy
Isle of Anglesey County Council	Cyngor Sir Ynys Môn
Gwynedd Council	Cyngor Gwynedd
Conwy County Borough Council	Cyngor Bwrdeistref Sirol Conwy
Denbighshire County Council	Cyngor Sir Ddinbych
Flintshire County Council	Cyngor Sir y Fflint
Wrexham County Borough Council	Cyngor Bwrdeistref Sirol Wrecsam
Powys County Council	Cyngor Sir Powys
Ceredigion County Council	Cyngor Sir Ceredigion
Pembrokeshire County Council	Cyngor Sir Penfro
Carmarthenshire County Council	Cyngor Sir Gaerfyrddin / Cyngor Sir Gâr
City & County of Swansea	Dinas a Sir Abertawe
Neath Port Talbot County Borough Council	Cyngor Bwrdeistref Sirol Castell-nedd Port Talbot
Bridgend County Borough Council	Cyngor Bwrdeistref Sirol Pen-y-bont ar Ogwr
Vale of Glamorgan Council	Cyngor Bro Morgannwg
City of Cardiff Council	Cyngor Dinas Caerdydd
Rhondda Cynon Taf County Borough Council	Cyngor Bwrdeistref Sirol Rhondda Cynon Taf
Merthyr Tydfil County Borough Council	Cyngor Bwrdeistref Sirol Merthyr Tudful
Caerphilly County Borough Council	Cyngor Bwrdeistref Sirol Caerffili
Blaenau Gwent County Borough Council	Cyngor Bwrdeistref Sirol Blaenau Gwent
Torfaen County Borough Council	Cyngor Bwrdeistref Sirol Torfaen
Monmouthshire County Council	Cyngor Sir Fynwy
Newport City Council	Cyngor Dinas Casnewydd
