local-custodian	administrative-area	count
2935	NORTHUMBERLAND	25668
1850	HEREFORDSHIRE	20182
4715	KIRKLEES	18565
840	CORNWALL	17922
9066	FIFE	16760
4720	LEEDS	16292
1355	DURHAM	14877
2001	EAST RIDING OF YORKSHIRE	14217
9052	ABERDEENSHIRE	11822
4705	BRADFORD MDC	11813
6810	GWYNEDD	11189
6810		11189
6850	POWYS	10855
6850		10855
9055	SCOTTISH BORDERS	10787
4605	BIRMINGHAM	10753
9079	WEST LOTHIAN	10311
9068	HIGHLAND	10246
3940	WILTSHIRE	10205
660	CHESHIRE EAST	9917
4230	SALFORD	9613
9058	DUMFRIES AND GALLOWAY	9133
2825	NORTHAMPTONSHIRE	9065
665	CHESHIRE WEST AND CHESTER	9033
4215	MANCHESTER	8903
3245	SHROPSHIRE	8846
6940	RHONDDA CYNON TAFF	8720
6940		8720
4235	STOCKPORT	8380
4225	ROCHDALE	7481
6825	CARMARTHENSHIRE	7285
6825		7285
4505	GATESHEAD	7101
1105	DEVON	7070
4410	DONCASTER	6890
4420	SHEFFIELD	6887
2835	NORTHAMPTONSHIRE	6726
119	SOUTH GLOUCESTERSHIRE	6642
9067	GLASGOW CITY	6485
4310	LIVERPOOL	6390
6855	SWANSEA	6371
6855		6371
4415	ROTHERHAM	6325
4525	SUNDERLAND	6262
4205	BOLTON	6259
4250	WIGAN	6258
4710	CALDERDALE	6257
116	BRISTOL	6170
4725	WAKEFIELD	6092
9077	SOUTH LANARKSHIRE	6042
1625	GLOUCESTERSHIRE	5999
405	BUCKINGHAMSHIRE	5848
1115	DEVON	5778
520	CAMBRIDGESHIRE	5729
6820	CEREDIGION	5723
6820		5723
6905	CONWY	5702
6905		5702
6845	PEMBROKESHIRE	5625
6845		5625
4515	NORTH TYNESIDE	5576
3935	SWINDON	5571
435	MILTON KEYNES	5464
9064	CITY OF EDINBURGH	5461
650	HALTON	5439
655	WARRINGTON	5397
9073	NORTH LANARKSHIRE	5379
9074	PERTH AND KINROSS	5371
3455	CITY OF STOKE-ON-TRENT	5204
1130	DEVON	5185
4610	COVENTRY	5133
530	CAMBRIDGESHIRE	5044
6920	CAERPHILLY COUNTY BOROUGH	5030
6920		5030
2715	NORTH YORKSHIRE	4984
4510	NEWCASTLE UPON TYNE	4958
4325	WIRRAL	4936
4210	BURY	4933
2003	NORTH LINCOLNSHIRE	4868
6815	CARDIFF	4741
6815		4741
738	STOCKTON-ON-TEES	4711
9053	ANGUS	4700
1135	DEVON	4654
240	CENTRAL BEDFORDSHIRE	4566
9062	EAST LOTHIAN	4565
2114	ISLE OF WIGHT	4525
2004	KINGSTON UPON HULL	4488
121	NORTH SOMERSET	4434
1125	DEVON	4431
4245	TRAFFORD	4415
4630	WALSALL	4401
4405	BARNSLEY	4385
3325	SOMERSET	4382
1775	PORTSMOUTH CITY COUNCIL	4381
9054	ARGYLL AND BUTE	4367
2465	LEICESTER CITY	4254
4220	OLDHAM	4187
4240	TAMESIDE	4169
2372	BLACKBURN WITH DARWEN	4147
6915	BRIDGEND COUNTY BOROUGH	4141
6915		4141
2630	NORFOLK	4111
6835	FLINTSHIRE	4089
6835		4087
9071	MORAY	4066
6955	WREXHAM	4059
6955		4058
9076	SOUTH AYRSHIRE	4050
114	BATH AND NORTH EAST SOMERSET	4023
1705	HAMPSHIRE	3989
