ONS	OS
E05007542	7000000000010111
E05007543	7000000000010040
E05007544	7000000000009819
E05007545	7000000000010046
E05007546	7000000000009828
E05007547	7000000000009827
E05007548	7000000000009908
E05007549	7000000000010161
E05007550	7000000000009924
E05007551	7000000000009912
E05007552	7000000000009915
E05007553	7000000000010108
E05007554	7000000000010034
E05007555	7000000000009816
E05007556	7000000000010051
E05007557	7000000000009919
E05007558	7000000000009917
E05007559	7000000000009922
E05007560	7000000000009822
E05007561	7000000000009824
E05006317	7000000000021099
E05006318	7000000000021094
E05006319	7000000000021102
E05006320	7000000000021357
E05006321	7000000000021215
E05006322	7000000000021098
E05006323	7000000000021325
E05006324	7000000000021088
E05006325	7000000000021071
E05006326	7000000000021314
E05006327	7000000000021065
E05006328	7000000000021106
E05006329	7000000000021316
E05006330	7000000000021329
E05006331	7000000000021109
E05006332	7000000000042158
E05006333	7000000000021101
E05006334	7000000000042157
E05006335	7000000000021107
E05006336	7000000000021081
E05006337	7000000000042159
E05006338	7000000000021317
E05006339	7000000000021096
E05006340	7000000000042160
E05006341	7000000000021086
E05000106	7000000000010901
E05000107	7000000000010764
E05000108	7000000000010771
E05000109	7000000000011034
E05000110	7000000000010763
E05000111	7000000000010779
E05000112	7000000000011030
E05000113	7000000000011067
E05000114	7000000000010762
E05000115	7000000000010761
E05000116	7000000000011065
E05000117	7000000000010773
E05000118	7000000000010770
E05000119	7000000000010900
E05000120	7000000000011004
E05000121	7000000000010904
E05000122	7000000000010782
E05000123	7000000000011066
E05000124	7000000000010780
E05000125	7000000000010902
E05000126	7000000000011032
E05000127	7000000000011006
E05000555	7000000000010892
E05000556	7000000000010997
E05000557	7000000000010881
E05000558	7000000000010877
E05000559	7000000000010875
E05000560	7000000000010883
E05000561	7000000000010874
E05000562	7000000000010996
E05000563	7000000000010885
E05000564	7000000000010882
E05000565	7000000000010879
E05000566	7000000000041824
E05000567	7000000000010880
E05000568	7000000000010890
E05000569	7000000000010891
E05000570	7000000000011025
E05000571	7000000000011024
E05000572	7000000000010871
E05000437	7000000000011009
E05000438	7000000000011046
E05000439	7000000000041855
E05000440	7000000000011036
E05000441	7000000000011078
E05000442	7000000000011007
E05000443	7000000000011071
E05000444	7000000000011082
E05000445	7000000000010903
E05000446	7000000000011038
E05000447	7000000000011040
E05000448	7000000000011037
E05000449	7000000000011049
E05000450	7000000000011079
E05000451	7000000000011070
E05000452	7000000000011084
E05000453	7000000000011072
E05000454	7000000000011069
E05003591	7000000000022779
E05003592	7000000000022458
E05003593	7000000000022771
E05003594	7000000000022729
E05003595	7000000000022462
E05003596	7000000000022471
E05003597	7000000000022599
E05003599	7000000000022448
E05003600	7000000000022586
E05003601	7000000000022776
E05003602	7000000000022474
E05003603	7000000000023150
E05003604	7000000000041971
E05003605	7000000000022593
E05003606	7000000000022461
E05003607	7000000000022582
E05003608	7000000000022773
E05003609	7000000000022591
E05003610	7000000000022735
E05003611	7000000000022455
E05003612	7000000000022588
E05003613	7000000000022456
E05003614	7000000000022733
E05008599	7000000000022576
E05008600	7000000000022472
E05000739	7000000000018732
E05000740	7000000000042477
E05000741	7000000000018742
E05000742	7000000000018730
E05000743	7000000000018745
E05000744	7000000000042480
E05000745	7000000000018849
E05000746	7000000000018731
E05000747	7000000000018828
E05000748	7000000000018741
E05000749	7000000000018740
E05000750	7000000000018854
E05000751	7000000000042478
E05000752	7000000000042476
E05000753	7000000000042479
E05000754	7000000000018744
E05000755	7000000000018827
E05000756	7000000000018829
E05000757	7000000000018850
E05000758	7000000000018823
E05003342	7000000000042071
E05003343	7000000000013562
E05003344	7000000000013684
E05003345	7000000000013767
E05003346	7000000000013544
E05003347	7000000000013706
E05003348	7000000000013599
E05003349	7000000000013701
E05003350	7000000000013550
E05003351	7000000000013674
E05003352	7000000000013579
E05003353	7000000000013567
E05003354	7000000000013761
E05003355	7000000000013710
E05003356	7000000000013586
E05003357	7000000000013695
E05003358	7000000000013734
E05003359	7000000000013601
E05003360	7000000000013605
E05003361	7000000000013602
E05003362	7000000000013565
E05003363	7000000000013676
E05003364	7000000000013770
E05003365	7000000000013593
E05003366	7000000000013515
E05009159	7000000000044090
E05009160	7000000000043812
E05009161	7000000000043811
E05009162	7000000000044118
E05009163	7000000000043772
E05009164	7000000000044123
E05009165	7000000000043789
E05009166	7000000000043793
E05009167	7000000000043799
E05009168	7000000000044447
E05009169	7000000000044135
E05009170	7000000000044110
E05009171	7000000000043776
E05009172	7000000000043765
E05009173	7000000000044444
E05009174	7000000000043783
E05009175	7000000000043754
E05009176	7000000000044088
E05009177	7000000000043815
E05009178	7000000000044127
E05009179	7000000000044137
E05009180	7000000000044136
E05009181	7000000000043802
E05009182	7000000000043782
E05009183	7000000000044111
E05009184	7000000000043788
E05009185	7000000000043767
E05009186	7000000000044105
E05009187	7000000000043794
E05009188	7000000000043775
E05009189	7000000000044108
E05009190	7000000000044107
E05009191	7000000000044446
E05009192	7000000000044125
E05009193	7000000000043779
E05009194	7000000000044089
E05009195	7000000000043763
E05009196	7000000000043778
E05009197	7000000000043768
E05009198	7000000000044103
E05009199	7000000000044133
E05009200	7000000000044106
E05009201	7000000000044141
E05009202	7000000000043791
E05009203	7000000000044119
E05009204	7000000000043813
E05009205	7000000000044097
E05009206	7000000000043790
E05009207	7000000000043751
E05009208	7000000000044102
E05009209	7000000000044113
E05009210	7000000000043771
E05009211	7000000000043761
E05009212	7000000000043784
E05009213	7000000000043818
E05009214	7000000000044112
E05009215	7000000000044093
E05009216	7000000000044095
E05009217	7000000000044104
E05009218	7000000000043807
E05009219	7000000000044117
E05009220	7000000000043808
E05009221	7000000000044129
E05009222	7000000000043809
E05009223	7000000000043795
E05009224	7000000000044445
E05009225	7000000000043781
E05009226	7000000000043816
E05009227	7000000000043810
E05009228	7000000000044134
E05009229	7000000000044124
E05009230	7000000000043797
E05009231	7000000000043757
E05009232	7000000000043821
E05009233	7000000000043773
E05009234	7000000000044091
E05009235	7000000000043758
E05009236	7000000000043760
E05009237	7000000000044126
E05009238	7000000000043800
E05009239	7000000000043801
E05009240	7000000000043787
E05009241	7000000000043756
E05009242	7000000000043780
E05009243	7000000000043819
E05009244	7000000000044140
E05009245	7000000000044139
E05009246	7000000000043805
E05009247	7000000000044115
E05009248	7000000000044092
E05009249	7000000000043764
E05009250	7000000000043759
E05009251	7000000000044094
E05009252	7000000000044122
E05009253	7000000000043786
E05009254	7000000000043792
E05009255	7000000000043762
E05009256	7000000000043774
E05009257	7000000000044109
E05009258	7000000000043770
E05009259	7000000000043752
E05009260	7000000000044096
E05009261	7000000000043804
E05009262	7000000000044099
E05009263	7000000000043785
E05009264	7000000000044101
E05009265	7000000000044132
E05009266	7000000000044121
E05009267	7000000000044120
E05009268	7000000000043814
E05009269	7000000000043766
E05009270	7000000000044128
E05009271	7000000000043796
E05009272	7000000000043820
E05009273	7000000000044131
E05009274	7000000000044098
E05009275	7000000000044448
E05009276	7000000000043803
E05009277	7000000000044114
E05009278	7000000000043817
E05009279	7000000000044100
E05009280	7000000000044130
E05009388	7000000000011272
E05009389	7000000000011267
E05009390	7000000000011349
E05009391	7000000000010985
E05009392	7000000000011351
E05009393	7000000000011266
E05009394	7000000000011445
E05009395	7000000000011274
E05009396	7000000000011347
E05009397	7000000000011273
E05009398	7000000000011348
E05009399	7000000000044519
E05009400	7000000000011350
E05009401	7000000000011269
E05009402	7000000000010989
E05009403	7000000000011149
E05009404	7000000000011446
E05009405	7000000000010984
E05008714	7000000000044339
E05008715	7000000000015091
E05008716	7000000000015006
E05008717	7000000000015095
E05008718	7000000000015112
E05008719	7000000000044360
E05008720	7000000000044367
E05008721	7000000000044378
E05008722	7000000000044374
E05008723	7000000000044359
E05008724	7000000000015138
E05008725	7000000000044362
E05008726	7000000000044376
E05008727	7000000000015107
E05008728	7000000000015184
E05008729	7000000000044373
E05008730	7000000000044377
E05008731	7000000000044366
E05008732	7000000000015104
E05008733	7000000000015122
E05008734	7000000000044375
E05008735	7000000000015131
E05008736	7000000000015008
E05008737	7000000000044368
E05008738	7000000000044361
E05008739	7000000000044365
E05008740	7000000000015009
E05008741	7000000000044370
E05008742	7000000000015013
E05008743	7000000000044363
E05008744	7000000000044371
E05008745	7000000000044364
E05008746	7000000000121901
E05008747	7000000000044372
E05008748	7000000000015124
E05008749	7000000000015140
E05008750	7000000000044369
E05002193	7000000000042087
E05002194	7000000000000915
E05002195	7000000000000932
E05002196	7000000000000957
E05002197	7000000000000920
E05002198	7000000000000947
E05002199	7000000000000916
E05002200	7000000000000928
E05002201	7000000000000951
E05002202	7000000000000956
E05002203	7000000000000965
E05002204	7000000000000953
E05002205	7000000000042089
E05002206	7000000000042086
E05002207	7000000000000935
E05002208	7000000000000919
E05002209	7000000000000922
E05002210	7000000000000961
E05002211	7000000000042088
E05005721	7000000000006828
E05005722	7000000000006832
E05005723	7000000000006833
E05005724	7000000000006962
E05005725	7000000000006928
E05005726	7000000000006970
E05005727	7000000000006926
E05005728	7000000000006923
E05005729	7000000000006855
E05005730	7000000000006933
E05005731	7000000000006950
E05005732	7000000000006853
E05005733	7000000000007018
E05005734	7000000000042230
E05005735	7000000000006877
E05005736	7000000000006978
E05005737	7000000000006952
E05005738	7000000000007141
E05005739	7000000000006951
E05005740	7000000000006944
E05005741	7000000000006957
E05005742	7000000000006940
E05005743	7000000000007020
E05005744	7000000000006870
E05005745	7000000000006860
E05005746	7000000000042231
E05005747	7000000000006851
E05005748	7000000000006862
E05005749	7000000000006657
E05005750	7000000000006937
E05005751	7000000000006920
E05005752	7000000000006875
E05005753	7000000000006878
E05005754	7000000000006889
E05005755	7000000000006839
E05005756	7000000000006955
E05001784	7000000000023542
E05001785	7000000000023463
E05001786	7000000000023549
E05001787	7000000000023547
E05001788	7000000000023471
E05001789	7000000000023459
E05001790	7000000000023391
E05001791	7000000000023380
E05001792	7000000000023416
E05001793	7000000000023467
E05001794	7000000000023540
E05001795	7000000000023466
E05001796	7000000000023420
E05001797	7000000000023393
E05001798	7000000000023379
E05001799	7000000000023535
E05001800	7000000000023372
E05001801	7000000000023386
E05001802	7000000000023383
E05001803	7000000000023417
E05001804	7000000000023461
E05001805	7000000000023543
E05007576	7000000000016310
E05007577	7000000000016308
E05007578	7000000000016287
E05007579	7000000000016290
E05007580	7000000000016327
E05007581	7000000000016294
E05007582	7000000000016312
E05007583	7000000000016547
E05007584	7000000000016284
E05007585	7000000000016321
E05007586	7000000000016301
E05007587	7000000000042445
E05007588	7000000000016264
E05007589	7000000000016292
E05007590	7000000000016318
E05007591	7000000000016309
E05007592	7000000000016299
E05007593	7000000000016302
E05007594	7000000000016499
E05007595	7000000000016303
E05007596	7000000000016293
E05007597	7000000000016281
E05007598	7000000000016280
E05007599	7000000000016428
E05007600	7000000000016297
E05007601	7000000000042193
E05001444	7000000000016570
E05001445	7000000000016561
E05001446	7000000000016599
E05001447	7000000000042461
E05001448	7000000000016582
E05001449	7000000000016595
E05001450	7000000000016575
E05001451	7000000000016606
E05001452	7000000000016562
E05001453	7000000000016594
E05001454	7000000000016607
E05001455	7000000000016560
E05001456	7000000000016564
E05001457	7000000000016577
E05001458	7000000000042460
E05001459	7000000000016601
E05001460	7000000000016603
E05001461	7000000000016756
E05001462	7000000000042459
E05001463	7000000000016604
E05001464	7000000000016602
E05004261	7000000000020104
E05004262	7000000000042058
E05004265	7000000000020120
E05004266	7000000000020045
E05004267	7000000000019917
E05004268	7000000000020005
E05004269	7000000000020006
E05004270	7000000000020030
E05004271	7000000000020115
E05004272	7000000000020123
E05004273	7000000000020114
E05004275	7000000000020105
E05004276	7000000000020042
E05004278	7000000000019994
E05004279	7000000000020090
E05004281	7000000000020000
E05004283	7000000000020035
E05004284	7000000000020008
E05004285	7000000000020093
E05004286	7000000000020133
E05004287	7000000000020107
E05008708	7000000000020050
E05008709	7000000000020032
E05008710	7000000000020111
E05008711	7000000000020047
E05008712	7000000000019927
E05008713	7000000000020129
E05000346	7000000000011482
E05000347	7000000000011401
E05000348	7000000000011439
E05000349	7000000000011436
E05000350	7000000000011476
E05000351	7000000000011481
E05000352	7000000000011480
E05000353	7000000000011473
E05000354	7000000000011474
E05000355	7000000000011483
E05000356	7000000000011491
E05000357	7000000000011484
E05000358	7000000000011488
E05000359	7000000000041857
E05000360	7000000000011486
E05000361	7000000000011492
E05000362	7000000000011496
E05000363	7000000000041856
E05000364	7000000000041858
E05000365	7000000000011435
E05001687	7000000000042184
E05001688	7000000000041925
E05001689	7000000000025647
E05001690	7000000000025644
E05001691	7000000000025636
E05001692	7000000000025633
E05001693	7000000000025625
E05001694	7000000000025621
E05001695	7000000000025641
E05001696	7000000000025606
E05001697	7000000000042186
E05001698	7000000000025629
E05001699	7000000000004532
E05001700	7000000000025610
E05001701	7000000000025653
E05001702	7000000000042185
E05001703	7000000000025642
E05001704	7000000000025605
E05001705	7000000000025632
E05001706	7000000000025608
E05001707	7000000000025660
E05001708	7000000000025624
E05001709	7000000000025646
E05001710	7000000000025630
E05001711	7000000000042187
E05001712	7000000000025611
E05000610	7000000000011157
E05000611	7000000000011153
E05000612	7000000000011128
E05000613	7000000000010986
E05000614	7000000000010863
E05000615	7000000000011152
E05000616	7000000000011151
E05000617	7000000000010862
E05000618	7000000000011158
E05000619	7000000000010861
E05000620	7000000000011160
E05000621	7000000000011429
E05000622	7000000000011258
E05000623	7000000000011150
E05000624	7000000000011257
E05000625	7000000000010991
E05000626	7000000000011155
E05000627	7000000000011129
E05000628	7000000000010865
E05000629	7000000000011256
E05000064	7000000000010787
E05000065	7000000000010790
E05000066	7000000000010835
E05000067	7000000000010758
E05000068	7000000000010839
E05000069	7000000000010838
E05000070	7000000000041859
E05000071	7000000000010784
E05000072	7000000000010760
E05000073	7000000000010841
E05000074	7000000000010833
E05000075	7000000000010791
E05000076	7000000000010840
E05000077	7000000000010819
E05000078	7000000000010774
E05000079	7000000000010786
E05000080	7000000000010789
E05000081	7000000000010756
E05000082	7000000000010820
E05000083	7000000000010837
E05000084	7000000000010818
E05004628	7000000000017750
E05004629	7000000000017815
E05004630	7000000000017692
E05004631	7000000000017826
E05004632	7000000000017788
E05004633	7000000000017743
E05004634	7000000000017813
E05004635	7000000000017771
E05004636	7000000000042031
E05004637	7000000000017695
E05004638	7000000000017748
E05004639	7000000000017741
E05004640	7000000000017763
E05004641	7000000000017785
E05004642	7000000000017777
E05004643	7000000000017786
E05004644	7000000000017696
E05004645	7000000000017843
E05004646	7000000000017828
E05004647	7000000000017746
E05004648	7000000000017784
E05004649	7000000000017749
E05004650	7000000000042030
E05004651	7000000000017782
E05007602	7000000000016545
E05007603	7000000000016441
E05007604	7000000000016426
E05007605	7000000000016516
E05007606	7000000000016507
E05007607	7000000000016519
E05007608	7000000000016508
E05007609	7000000000016494
E05007610	7000000000016479
E05007611	7000000000016489
E05007612	7000000000016477
E05007613	7000000000016509
E05007614	7000000000016521
E05007615	7000000000016486
E05007616	7000000000016505
E05007617	7000000000016482
E05007618	7000000000016502
E05007619	7000000000016455
E05007620	7000000000016456
E05007621	7000000000016538
E05007622	7000000000016304
E05007623	7000000000016306
E05007624	7000000000016492
E05007625	7000000000016528
E05007626	7000000000016472
E05007627	7000000000042214
E05007628	7000000000016526
E05007629	7000000000016530
E05007630	7000000000016461
E05004207	7000000000019671
E05004208	7000000000019480
E05004209	7000000000019665
E05004210	7000000000019438
E05004211	7000000000041772
E05004212	7000000000019626
E05004213	7000000000041774
E05004214	7000000000019635
E05004215	7000000000019638
E05004216	7000000000019636
E05004217	7000000000019639
E05004218	7000000000019679
E05004219	7000000000019669
E05004220	7000000000019666
E05004221	7000000000019477
E05004222	7000000000041773
E05004223	7000000000019664
E05004224	7000000000019716
E05004225	7000000000019667
E05003638	7000000000022867
E05003639	7000000000022980
E05003640	7000000000022850
E05003641	7000000000022797
E05003642	7000000000022882
E05003643	7000000000022768
E05003644	7000000000022950
E05003645	7000000000022975
E05003646	7000000000022978
E05003647	7000000000022794
E05003648	7000000000022804
E05003649	7000000000022990
E05003650	7000000000022947
E05003651	7000000000023157
E05003652	7000000000041951
E05003653	7000000000022807
E05003654	7000000000022872
