local-authority-discovery	local-authority	uk
WSX-UB	local-authority-eng:ADD	ENG
CMA-UB	local-authority-eng:ALB	ENG
DBY-UB	local-authority-eng:AMV	ENG
WSX-UC	local-authority-eng:ARD	ENG
KEN-UB	local-authority-eng:ASB	ENG
NTT-UB	local-authority-eng:ASD	ENG
BKM-UB	local-authority-eng:AYV	ENG
HAM-UB	local-authority-eng:BAA	ENG
ESS-UB	local-authority-eng:BAS	ENG
BBD	local-authority-eng:BBD	ENG
SFK-UB	local-authority-eng:BBG	ENG
BDF	local-authority-eng:BDF	ENG
BDG	local-authority-eng:BDG	ENG
BEN	local-authority-eng:BEN	ENG
BEX	local-authority-eng:BEX	ENG
CMA-UC	local-authority-eng:BIF	ENG
BIR	local-authority-eng:BIR	ENG
BKM	local-authority-eng:BKM	ENG
LEC-UB	local-authority-eng:BLD	ENG
NTT-UC	local-authority-eng:BLW	ENG
BMH	local-authority-eng:BMH	ENG
BAS	local-authority-eng:BNE	ENG
BRC	local-authority-eng:BNF	ENG
BNH	local-authority-eng:BNH	ENG
BNS	local-authority-eng:BNS	ENG
BNE	local-authority-eng:BNT	ENG
LIN-UB	local-authority-eng:BOB	ENG
NFK-UE	local-authority-eng:BOC	ENG
DBY-UC	local-authority-eng:BOD	ENG
BOL	local-authority-eng:BOL	ENG
BPL	local-authority-eng:BPL	ENG
BRD	local-authority-eng:BRD	ENG
NFK-UB	local-authority-eng:BRL	ENG
WOR-UB	local-authority-eng:BRM	ENG
NFK-UC	local-authority-eng:BRO	ENG
ESS-UC	local-authority-eng:BRT	ENG
BRY	local-authority-eng:BRY	ENG
BST	local-authority-eng:BST	ENG
ESS-UD	local-authority-eng:BTW	ENG
LAN-UD	local-authority-eng:BUB	ENG
BUR	local-authority-eng:BUR	ENG
HRT-UB	local-authority-eng:BXB	ENG
NTT-UD	local-authority-eng:BXT	ENG
CAM	local-authority-eng:CAM	ENG
ESS-UE	local-authority-eng:CAP	ENG
LEC-UC	local-authority-eng:CAW	ENG
CBF	local-authority-eng:CBF	ENG
NTH-UB	local-authority-eng:CBY	ENG
CAM-UB	local-authority-eng:CCC	ENG
STS-UB	local-authority-eng:CCH	ENG
CHE	local-authority-eng:CEA	ENG
ESS-UF	local-authority-eng:CHC	ENG
LIN-UD	local-authority-eng:CIO	ENG
CLD	local-authority-eng:CLD	ENG
LAN-UE	local-authority-eng:CLY	ENG
CMA	local-authority-eng:CMA	ENG
CMD	local-authority-eng:CMD	ENG
CMA-UE	local-authority-eng:COB	ENG
CON	local-authority-eng:CON	ENG
COV	local-authority-eng:COV	ENG
DOR-UC	local-authority-eng:CRC	ENG
NYK-UB	local-authority-eng:CRD	ENG
CMA-UD	local-authority-eng:CRL	ENG
OXF-UB	local-authority-eng:CWL	ENG
WSX-UE	local-authority-eng:CRW	ENG
CRY	local-authority-eng:CRY	ENG
DBY-UD	local-authority-eng:CSF	ENG
WSX-UD	local-authority-eng:CHS	ENG
ESS-UG	local-authority-eng:CST	ENG
KEN-UC	local-authority-eng:CTB	ENG
BKM-UC	local-authority-eng:CTN	ENG
