food-authority	local-authority	name	website	email
760	ABE	Aberdeen City	http://www.aberdeencity.gov.uk	commercial@aberdeencity.gov.uk
761	ABD	Aberdeenshire	http://www.aberdeenshire.gov.uk/	environmental@aberdeenshire.gov.uk
323	WSX-UB	Adur	http://www.adur-worthing.gov.uk	envsupport@adur-worthing.gov.uk
055	CMA-UB	Allerdale	http://www.allerdale.gov.uk	environmental.health@allerdale.gov.uk
062	DBY-UB	Amber Valley	http://www.ambervalley.gov.uk	envhealth@ambervalley.gov.uk
551	AGY	Anglesey	http://www.ynysmon.gov.uk	iechydyramgylchedd@ynysmon.gov.uk
762	ANS	Angus	http://www.angus.gov.uk/fhis/	ENVHEALTH@angus.gov.uk
801	ANN	Antrim and Newtownabbey	http://www.antrimandnewtownabbey.gov.uk	envhealth@antrimandnewtownabbey.gov.uk
802	AND	Ards and North Down	http://www.ardsandnorthdown.gov.uk	env.services@ardsandnorthdown.gov.uk
763	AGB	Argyll and Bute	http://www.argyll-bute.gov.uk	envhealth@argyll-bute.gov.uk
803	ABC	"Armagh City	 Banbridge and Craigavon"	http://www.armaghbanbridgecraigavon.gov.uk/	ehealth@armaghbanbridgecraigavon.gov.uk
324	WSX-UC	Arun	http://www.arun.gov.uk	food.safety@arun.gov.uk
259	NTT-UB	Ashfield	http://www.ashfield-dc.gov.uk	info@ashfield-dc.gov.uk
179	KEN-UB	Ashford	http://www.ashford.gov.uk	envhealth@ashford.gov.uk
021	BKM-UB	Aylesbury Vale	http://www.aylesburyvaledc.gov.uk	envhealth@aylesburyvaledc.gov.uk
297	SFK-UB	Babergh	http://www.babergh.gov.uk/	food.safety@babergh.gov.uk
501	BDG	Barking and Dagenham	http://www.lbbd.gov.uk/Pages/Home.aspx	fhsteam@lbbd.gov.uk
502	BNE	Barnet	http://www.barnet.gov.uk/	FoodSafety@barnet.gov.uk
401	BNS	Barnsley	http://www.barnsley.gov.uk	regulatoryservices@barnsley.gov.uk
056	CMA-UC	Barrow-in-Furness	http://www.barrowbc.gov.uk	commercial@barrowbc.gov.uk
109	ESS-UB	Basildon	http://www.basildon.gov.uk	ehs@basildon.gov.uk
131	HAM-UB	Basingstoke and Deane	http://www.basingstoke.gov.uk	ehteam@basingstoke.gov.uk
260	NTT-UC	Bassetlaw	http://www.bassetlaw.gov.uk	environmental.health@bassetlaw.gov.uk
857	BAS	Bath and North East Somerset	http://www.bathnes.gov.uk/healthandsocial/foodsafety/Pages/default.aspx	public_protection@bathnes.gov.uk
701	BDF	Bedford	http://www.bedford.gov.uk	ehadmin@bedford.gov.uk
807	BFS	Belfast City	http://www.belfastcity.gov.uk/buildingcontrol-environment/foodsafety/consumers-foodhygienescheme.aspx	envhealth@belfastcity.gov.uk
503	BEX	Bexley	http://www.bexley.gov.uk	food.safety@bexley.gov.uk
402	BIR	Birmingham	http://www.birmingham.gov.uk/environmental-health	nick.lowe@birmingham.gov.uk
209	LEC-UB	Blaby	http://www.blaby.gov.uk	environmental.health@blaby.gov.uk
897	BBD	Blackburn	http://www.blackburn.gov.uk	publicprotection@blackburn.gov.uk
