gaz50k	local-authority
LO	LND
AG	ANS
RD	RCH
BC	BRC
YY	SKP
YS	SOS
RH	RCT
ES	ESX
WH	WLV
WF	WFT
DE	DEN
LL	LIN
WB	WBK
KC	KEC
HN	HCK
FF	FIF
TH	TWH
SM	STT
WE	WKF
BZ	BST
HE	HEF
WX	WRX
YT	SLG
WK	WAR
WG	WRT
CW	CWY
HP	HAM
WA	WLL
CA	CLD
AB	ABD
GY	GWN
NE	NWP
EX	ESS
GL	GLG
BR	BRY
SX	SAY
LN	LUT
SI	ZET
HD	HRT
KN	KWL
WN	WGN
KG	KTT
NS	NSM
OK	ORK
RE	RFW
IL	ISL
PY	PLY
HS	HNS
WC	WNM
BN	BNE
TB	TOB
TR	TRF
EN	ENF
HA	HAL
NW	NET
FL	FLN
SD	SWD
BE	BGE
WI	ELS
CN	CON
HG	HRY
SW	SWK
SN	SHN
SZ	STN
BK	CBF
EY	ERY
WO	WOR
ER	ERW
BB	BBD
NA	NAY
WT	WIL
CY	CRY
WJ	WOK
MM	MON
ED	EDU
HL	HLD
LD	LDS
TU	THR
MI	MLN
KH	KHL
SQ	SOL
BX	BEX
BH	BNH
SC	SLF
SY	STY
BM	BKM
DL	DAL
GH	GAT
HF	HMF
NT	NTT
SE	SFT
NP	NTL
NH	NWM
WM	WSM
NI	NLN
BT	BEN
LB	LBH
DN	DEV
DT	DOR
SJ	STE
ST	SOM
DU	DUR
RG	RDG
SV	SND
KL	KIR
HR	HRW
SS	SWA
NC	NEL
IM	
BF	BDF
CH	CHE
PW	POW
LA	LAN
CU	CMA
EA	EAY
DR	DNC
HV	HAV
AR	AGB
LT	LEC
SH	SHR
TS	TAM
SP	SHF
BL	BNS
CE	CGN
HT	HPL
ME	MDW
RL	RUT
NL	NLK
SR	STG
BP	BPL
NN	NTH
CD	CRF
BU	BMH
KT	KEN
AN	ABE
VG	VGL
NY	NYK
BS	BAS
BI	BIR
NG	NGM
NK	NFK
DD	DND
GW	GRE
WS	WSX
SG	SGC
GR	GLS
MO	MRY
TF	TOF
SU	SRY
CV	COV
BY	BUR
WR	WRL
HI	HIL
MK	MIK
BD	BDG
MT	MTY
RT	RIC
SF	STS
WP	TFW
DB	DER
OH	OLD
DZ	DUD
RO	ROT
CM	CMD
PB	PEM
IW	IOW
DG	DGY
MR	MRT
EB	EDH
RC	RCC
BG	BGW
WD	WDU
NR	NTY
PO	POR
EG	EAL
LC	LCE
PL	POL
ND	NBL
CF	CAY
CT	CMN
BA	BRD
SA	SAW
WW	WND
MB	MDB
WL	WLN
MA	MAN
EL	ELN
ON	OXF
BO	BOL
IN	IVC
SO	STH
IS	IOS
SB	SCB
LP	LIV
LS	LEW
YK	YOR
FA	FAL
RB	RDB
CB	CAM
IA	AGY
PK	PKN
CC	CHW
SL	SLK
SK	SFK
PE	PTE
DY	DBY
CL	CLK
