old_id	new_id
BXB	BRX
SOA	STR
BOD	BOS
RID	RIC
CWL	CHR
HUD	HUN
CIO	LIC
CLY	CHO
ADD	ADU
HIA	HIN
BRL	BRE
SSM	SSO
SHD	SHE
CRC	CHC
WYD	WYO
CCH	CAN
SBY	SEL
NON	NNO
MSF	MAS
GLC	GLO
CAP	CAS
CTN	CHN
SSE	SOS
RUC	RUS
SOK	SKE
RIV	RIB
EXC	EXE
CRL	CAR
HOD	HOR
SUC	SUF
MSK	MSU
EPF	EPP
TDR	TEN
SNH	SNR
NOH	NHE
FOO	FOE
NWK	NWA
WPO	WEY
TOA	TON
SVK	SEV
BBG	BAB
HEB	HER
TDE	TAU
WYN	WYC
WKS	WAR
BLW	BAE
FYB	FYL
OXC	OXO
SOB	SBU
EBO	EAS
REB	RED
TEV	TES
WVY	WAE
TEB	TEW
SOR	SRI
TUK	THR
MOV	MOL
BXT	BRT
SRD	STO
FOH	FOR
EPA	EPS
WOB	WOT
CRD	CRA
OAA	OAD
TUW	TUN
SAC	SAL
ASB	ASF
VAO	VAL
HVT	HAA
NSW	NEA
MID	MDE
FLD	FEN
HYB	HYN
RSM	RUH
TBG	TEI
RTR	ROH
CSF	CHS
BTW	BRW
DAD	DAV
TOD	TOR
SHL	SOL
HBT	HAE
BUB	BUN
BNF	BRC
CWD	COT
GEB	GED
HGT	HAG
WEB	WEL
LID	LIF
GRB	GRA
RYD	RYE
SWB	SWA
HAC	HAR
HST	HAS
CTB	CAT
SNK	SNO
PEB	PEN
MAH	MAV
SOT	STE
MSX	MSS
NEF	NEW
RCF	ROC
SCB	SCE
FAB	FAR
WTF	WAT
AMV	AMB
SGM	SEG
WIC	WIN
GUB	GRT
WLD	WEA
WYF	WYE
MED	MEN
PUD	PUR
BIF	BAR
NOK	NKE
RGB	RUG
REA	REI
CEA	CHE
SPB	SPE
RYM	RUN
LED	LEE
BOB	BOT
ALB	ALL
DED	DEB
TDG	TAN
CWE	CHW
COB	COP
DVR	DOV
EDD	EDN
AYV	AYL
BNT	BNE
CBY	COR
KEB	KET
CAW	CHA
WNY	WAV
STM	STF
DFD	DAR
ERB	ERE
HIP	HIG
EAC	ECA
ARD	ARU
SOC	SCA
UTD	UTT
MDN	MAL
ASD	ASH
NOB	NOR
BAA	BAN
SOD	SDE
NUA	NUN
GOB	GOS
ROB	ROS
CST	COL
BOC	KIN
BLD	BLA
CCC	CAB
WWK	WAW
WEH	WEW
HBG	HAO
TRR	THE
IPB	IPS
TAB	TAW
HFS	HRT
SDM	SED
NOC	NOW
NOE	NED
ELG	EAT
WES	WSO
THD	THA
WKG	WOI
PRC	PRE
DAB	DAC
EAN	ENO
WEO	WOX
SUH	SUR
MEB	MEL
ELB	ELM
MAB	MAI
