iso-code	local-authority
GB-BKM	local-authority-eng:BKM
GB-CAM	local-authority-eng:CAM
GB-CMA	local-authority-eng:CMA
GB-DBY	local-authority-eng:DBY
GB-DEV	local-authority-eng:DEV
GB-DOR	local-authority-eng:DOR
GB-ESX	local-authority-eng:ESX
GB-ESS	local-authority-eng:ESS
GB-GLS	local-authority-eng:GLS
GB-HAM	local-authority-eng:HAM
GB-HRT	local-authority-eng:HRT
GB-KEN	local-authority-eng:KEN
GB-LAN	local-authority-eng:LAN
GB-LEC	local-authority-eng:LEC
GB-LIN	local-authority-eng:LIN
GB-NFK	local-authority-eng:NFK
GB-NYK	local-authority-eng:NYK
GB-NTH	local-authority-eng:NTH
GB-NTT	local-authority-eng:NTT
GB-OXF	local-authority-eng:OXF
GB-SOM	local-authority-eng:SOM
GB-STS	local-authority-eng:STS
GB-SFK	local-authority-eng:SFK
GB-SRY	local-authority-eng:SRY
GB-WAR	local-authority-eng:WAR
GB-WSX	local-authority-eng:WSX
GB-WOR	local-authority-eng:WOR
GB-LND	local-authority-eng:LND
GB-BDG	local-authority-eng:BDG
GB-BNE	local-authority-eng:BNE
GB-BEX	local-authority-eng:BEX
GB-BEN	local-authority-eng:BEN
GB-BRY	local-authority-eng:BRY
GB-CMD	local-authority-eng:CMD
GB-CRY	local-authority-eng:CRY
GB-EAL	local-authority-eng:EAL
GB-ENF	local-authority-eng:ENF
GB-GRE	local-authority-eng:GRE
GB-HCK	local-authority-eng:HCK
GB-HMF	local-authority-eng:HMF
GB-HRY	local-authority-eng:HRY
GB-HRW	local-authority-eng:HRW
GB-HAV	local-authority-eng:HAV
GB-HIL	local-authority-eng:HIL
GB-HNS	local-authority-eng:HNS
GB-ISL	local-authority-eng:ISL
GB-KEC	local-authority-eng:KEC
GB-KTT	local-authority-eng:KTT
GB-LBH	local-authority-eng:LBH
GB-LEW	local-authority-eng:LEW
GB-MRT	local-authority-eng:MRT
GB-NWM	local-authority-eng:NWM
GB-RDB	local-authority-eng:RDB
GB-RIC	local-authority-eng:RIC
GB-SWK	local-authority-eng:SWK
GB-STN	local-authority-eng:STN
GB-TWH	local-authority-eng:TWH
GB-WFT	local-authority-eng:WFT
GB-WND	local-authority-eng:WND
GB-WSM	local-authority-eng:WSM
GB-BNS	local-authority-eng:BNS
GB-BIR	local-authority-eng:BIR
GB-BOL	local-authority-eng:BOL
GB-BRD	local-authority-eng:BRD
GB-BUR	local-authority-eng:BUR
GB-CLD	local-authority-eng:CLD
GB-COV	local-authority-eng:COV
GB-DNC	local-authority-eng:DNC
GB-DUD	local-authority-eng:DUD
GB-GAT	local-authority-eng:GAT
GB-KIR	local-authority-eng:KIR
GB-KWL	local-authority-eng:KWL
GB-LDS	local-authority-eng:LDS
GB-LIV	local-authority-eng:LIV
GB-MAN	local-authority-eng:MAN
GB-NET	local-authority-eng:NET
GB-NTY	local-authority-eng:NTY
GB-OLD	local-authority-eng:OLD
GB-RCH	local-authority-eng:RCH
GB-ROT	local-authority-eng:ROT
GB-SHN	local-authority-eng:SHN
GB-SLF	local-authority-eng:SLF
GB-SAW	local-authority-eng:SAW
GB-SFT	local-authority-eng:SFT
GB-SHF	local-authority-eng:SHF
GB-SOL	local-authority-eng:SOL
GB-STY	local-authority-eng:STY
GB-SKP	local-authority-eng:SKP
GB-SND	local-authority-eng:SND
GB-TAM	local-authority-eng:TAM
GB-TRF	local-authority-eng:TRF
GB-WKF	local-authority-eng:WKF
GB-WLL	local-authority-eng:WLL
GB-WGN	local-authority-eng:WGN
GB-WRL	local-authority-eng:WRL
GB-WLV	local-authority-eng:WLV
GB-BAS	local-authority-eng:BAS
GB-BDF	local-authority-eng:BDF
GB-BBD	local-authority-eng:BBD
GB-BPL	local-authority-eng:BPL
GB-BMH	local-authority-eng:BMH
GB-BRC	local-authority-eng:BRC
GB-BNH	local-authority-eng:BNH
GB-BST	local-authority-eng:BST
GB-CBF	local-authority-eng:CBF
GB-CHE	local-authority-eng:CHE
GB-CHW	local-authority-eng:CHW
GB-CON	local-authority-eng:CON
GB-DAL	local-authority-eng:DAL
GB-DER	local-authority-eng:DER
GB-DUR	local-authority-eng:DUR
GB-ERY	local-authority-eng:ERY
GB-HAL	local-authority-eng:HAL
GB-HPL	local-authority-eng:HPL
GB-HEF	local-authority-eng:HEF
GB-IOW	local-authority-eng:IOW
GB-IOS	local-authority-eng:IOS
GB-KHL	local-authority-eng:KHL
GB-LCE	local-authority-eng:LCE
GB-LUT	local-authority-eng:LUT
GB-MDW	local-authority-eng:MDW
GB-MDB	local-authority-eng:MDB
GB-MIK	local-authority-eng:MIK
GB-NEL	local-authority-eng:NEL
GB-NLN	local-authority-eng:NLN
GB-NSM	local-authority-eng:NSM
GB-NBL	local-authority-eng:NBL
GB-NGM	local-authority-eng:NGM
GB-PTE	local-authority-eng:PTE
GB-PLY	local-authority-eng:PLY
GB-POL	local-authority-eng:POL
GB-POR	local-authority-eng:POR
GB-RDG	local-authority-eng:RDG
GB-RCC	local-authority-eng:RCC
GB-RUT	local-authority-eng:RUT
GB-SHR	local-authority-eng:SHR
GB-SLG	local-authority-eng:SLG
GB-SGC	local-authority-eng:SGC
GB-STH	local-authority-eng:STH
GB-SOS	local-authority-eng:SOS
GB-STT	local-authority-eng:STT
GB-STE	local-authority-eng:STE
GB-SWD	local-authority-eng:SWD
GB-TFW	local-authority-eng:TFW
GB-THR	local-authority-eng:THR
GB-TOB	local-authority-eng:TOB
GB-WRT	local-authority-eng:WRT
GB-WBK	local-authority-eng:WBK
GB-WIL	local-authority-eng:WIL
GB-WNM	local-authority-eng:WNM
GB-WOK	local-authority-eng:WOK
GB-YOR	local-authority-eng:YOR
GB-ANN	local-authority-nir:ANN
GB-AND	local-authority-nir:AND
GB-ABC	local-authority-nir:ABC
GB-BFS	local-authority-nir:BFS
GB-CCG	local-authority-nir:CCG
GB-DRS	local-authority-nir:DRS
GB-FMO	local-authority-nir:FMO
GB-LBC	local-authority-nir:LBC
GB-MEA	local-authority-nir:MEA
GB-MUL	local-authority-nir:MUL
GB-NMD	local-authority-nir:NMD
GB-ABE	local-authority-sct:ABE
GB-ABD	local-authority-sct:ABD
GB-ANS	local-authority-sct:ANS
GB-AGB	local-authority-sct:AGB
GB-CLK	local-authority-sct:CLK
GB-DGY	local-authority-sct:DGY
GB-DND	local-authority-sct:DND
GB-EAY	local-authority-sct:EAY
GB-EDU	local-authority-sct:EDU
GB-ELN	local-authority-sct:ELN
GB-ERW	local-authority-sct:ERW
GB-EDH	local-authority-sct:EDH
GB-ELS	local-authority-sct:ELS
GB-FAL	local-authority-sct:FAL
GB-FIF	local-authority-sct:FIF
GB-GLG	local-authority-sct:GLG
GB-HLD	local-authority-sct:HLD
GB-IVC	local-authority-sct:IVC
GB-MLN	local-authority-sct:MLN
GB-MRY	local-authority-sct:MRY
GB-NAY	local-authority-sct:NAY
GB-NLK	local-authority-sct:NLK
GB-ORK	local-authority-sct:ORK
GB-PKN	local-authority-sct:PKN
GB-RFW	local-authority-sct:RFW
GB-SCB	local-authority-sct:SCB
GB-ZET	local-authority-sct:ZET
GB-SAY	local-authority-sct:SAY
GB-SLK	local-authority-sct:SLK
GB-STG	local-authority-sct:STG
GB-WDU	local-authority-sct:WDU
GB-WLN	local-authority-sct:WLN
GB-BGW	principal-local-authority:BGW
GB-BGE	principal-local-authority:BGE
GB-CAY	principal-local-authority:CAY
GB-CRF	principal-local-authority:CRF
GB-CMN	principal-local-authority:CMN
GB-CGN	principal-local-authority:CGN
GB-CWY	principal-local-authority:CWY
GB-DEN	principal-local-authority:DEN
GB-FLN	principal-local-authority:FLN
GB-GWN	principal-local-authority:GWN
GB-AGY	principal-local-authority:AGY
GB-MTY	principal-local-authority:MTY
GB-MON	principal-local-authority:MON
GB-NTL	principal-local-authority:NTL
GB-NWP	principal-local-authority:NWP
GB-PEM	principal-local-authority:PEM
GB-POW	principal-local-authority:POW
GB-RCT	principal-local-authority:RCT
GB-SWA	principal-local-authority:SWA
GB-TOF	principal-local-authority:TOF
GB-VGL	principal-local-authority:VGL
GB-WRX	principal-local-authority:WRX
