registration-district	local-authority	name-cy	name
218	local-authority-eng:BDG		Barking and Dagenham
219	local-authority-eng:BNE		Barnet
41	local-authority-eng:BNS		Barnsley
300	local-authority-eng:BAS		Bath and North East Somerset
316	local-authority-eng:BDF		Bedford
220	local-authority-eng:BEX		Bexley
61	local-authority-eng:BIR		Birmingham
580	local-authority-eng:BBD		Blackburn With Darwen
581	local-authority-eng:BPL		Blackpool
833	principal-local-authority:BGW		Blaenau Gwent
2	local-authority-eng:BOL		Bolton
427	local-authority-eng:BMH		Bournemouth
318	local-authority-eng:BRC		Bracknell Forest
83	local-authority-eng:BRD		Bradford and Keighley
221	local-authority-eng:BEN		Brent
861	principal-local-authority:BGE	Pen-y-bont ar Ogwr	Bridgend
452	local-authority-eng:BNH		Brighton and Hove
301	local-authority-eng:BST		Bristol
222	local-authority-eng:BRY		Bromley
328	local-authority-eng:BKM		Buckinghamshire
3	local-authority-eng:BUR		Bury
863	principal-local-authority:CAY	Caerffili	Caerphilly
86	local-authority-eng:CLD		Calderdale
339	local-authority-eng:CAM		Cambridgeshire
250	local-authority-eng:CMD		Camden
890	principal-local-authority:CRF	Caerdydd	Cardiff
822	principal-local-authority:CMN	Sir Gaerfyrddin	Carmarthenshire
317	local-authority-eng:CBF		Central Bedfordshire
823	principal-local-authority:CGN		Ceredigion
342	local-authority-eng:CHE		Cheshire East
345	local-authority-eng:CHW		Cheshire West and Chester
846	principal-local-authority:CWY		Conwy
371	local-authority-eng:CON		Cornwall
63	local-authority-eng:COV		Coventry
225	local-authority-eng:CRY		Croydon
387	local-authority-eng:CMA		Cumbria
436	local-authority-eng:DAL		Darlington
805	principal-local-authority:DEN	De Sir Ddinbych	Denbighshire South
811	principal-local-authority:DEN	Gogledd Sir Ddinbych	Denbighshire North
394	local-authority-eng:DER		Derby
398	local-authority-eng:DBY		Derbyshire
423	local-authority-eng:DEV		Devon
42	local-authority-eng:DNC		Doncaster
429	local-authority-eng:DOR		Dorset
65	local-authority-eng:DUD		Dudley
442	local-authority-eng:DUR		County of Durham
226	local-authority-eng:EAL		Ealing
541	local-authority-eng:ERY		East Riding of Yorkshire
462	local-authority-eng:ESX		East Sussex
227	local-authority-eng:ENF		Enfield
463	local-authority-eng:ESS		Essex
804	principal-local-authority:FLN	Sir y Fflint	Flintshire
51	local-authority-eng:GAT		Gateshead
488	local-authority-eng:GLS		Gloucestershire
229	local-authority-eng:GRE		Greenwich
855	principal-local-authority:GWN		Gwynedd
230	local-authority-eng:HCK		Hackney
343	local-authority-eng:HAL		Halton
260	local-authority-eng:HMF		Hammersmith and Fulham
504	local-authority-eng:HAM		Hampshire
233	local-authority-eng:HRY		Haringey
232	local-authority-eng:HRW		Harrow
351	local-authority-eng:HPL		Hartlepool
234	local-authority-eng:HAV		Havering
511	local-authority-eng:HEF		Herefordshire
538	local-authority-eng:HRT		Hertfordshire
236	local-authority-eng:HIL		Hillingdon
237	local-authority-eng:HNS		Hounslow
857	principal-local-authority:AGY	Ynys Môn	Isle of Anglesey
556	local-authority-eng:IOW		Isle of Wight
360	local-authority-eng:IOS		Isles of Scilly
238	local-authority-eng:ISL		Islington
239	local-authority-eng:KEC		Kensington and Chelsea
564	local-authority-eng:KEN		Kent
240	local-authority-eng:KTT		Kingston Upon Thames
550	local-authority-eng:KHL		Hull
90	local-authority-eng:KIR		Kirklees
23	local-authority-eng:KWL		Knowsley
241	local-authority-eng:LBH		Lambeth
591	local-authority-eng:LAN		Lancashire
92	local-authority-eng:LDS		Leeds
600	local-authority-eng:LCE		Leicester
605	local-authority-eng:LEC		Leicestershire
242	local-authority-eng:LEW		Lewisham
609	local-authority-eng:LIN		Lincolnshire
25	local-authority-eng:LIV		Liverpool
243	local-authority-eng:LND		London City
315	local-authority-eng:LUT		Luton
6	local-authority-eng:MAN		Manchester
561	local-authority-eng:MDW		Medway
860	principal-local-authority:MTY	Merthyr Tudful	Merthyr Tydfil
244	local-authority-eng:MRT		Merton
348	local-authority-eng:MDB		Middlesbrough
326	local-authority-eng:MIK		Milton Keynes
839	principal-local-authority:MON	Sir Fynwy	Monmouthshire
896	principal-local-authority:NTL	Castell-nedd Port Talbot	Neath Port Talbot
53	local-authority-eng:NET		Newcastle Upon Tyne
257	local-authority-eng:NWM		Newham
836	principal-local-authority:NWP	Casnewydd	Newport
642	local-authority-eng:NFK		Norfolk
548	local-authority-eng:NEL		North East Lincolnshire
554	local-authority-eng:NLN		North Lincolnshire
307	local-authority-eng:NSM		North Somerset
54	local-authority-eng:NTY		North Tyneside
650	local-authority-eng:NYK		North Yorkshire
674	local-authority-eng:NTH		Northamptonshire
681	local-authority-eng:NBL		Northumberland
689	local-authority-eng:NGM		Nottingham
692	local-authority-eng:NTT		Nottinghamshire
7	local-authority-eng:OLD		Oldham
695	local-authority-eng:OXF		Oxfordshire
819	principal-local-authority:PEM	Sir Benfro	Pembrokeshire
335	local-authority-eng:PTE		Peterborough
416	local-authority-eng:PLY		Plymouth
431	local-authority-eng:POL		Poole
497	local-authority-eng:POR		Portsmouth
882	principal-local-authority:POW		Powys
320	local-authority-eng:RDG		Reading
247	local-authority-eng:RDB		Redbridge
349	local-authority-eng:RCC		Redcar and Cleveland
864	principal-local-authority:RCT		Rhondda Cynon Taf
248	local-authority-eng:RIC		Richmond Upon Thames
9	local-authority-eng:RCH		Rochdale
45	local-authority-eng:ROT		Rotherham
604	local-authority-eng:RUT		Rutland
11	local-authority-eng:SLF		Salford
70	local-authority-eng:SAW		Sandwell
35	local-authority-eng:SFT		Sefton
48	local-authority-eng:SHF		Sheffield
717	local-authority-eng:SHR		Shropshire
321	local-authority-eng:SLG		Slough
73	local-authority-eng:SOL		Solihull
722	local-authority-eng:SOM		Somerset
304	local-authority-eng:SGC		South Gloucestershire
57	local-authority-eng:STY		South Tyneside
500	local-authority-eng:STH		Southampton
475	local-authority-eng:SOS		Southend-on-Sea
251	local-authority-eng:SWK		Southwark
30	local-authority-eng:SHN		St Helens
738	local-authority-eng:STS		Staffordshire
13	local-authority-eng:SKP		Stockport
