street-administrative-area	local-authority	local-authority-name
ABERDEEN CITY	local-authority-sct:ABE	Aberdeen City
ABERDEENSHIRE	local-authority-sct:ABD	Aberdeenshire
ANGUS	local-authority-sct:ANS	Angus
ARGYLL AND BUTE	local-authority-sct:AGB	Argyll and Bute
AYRSHIRE		
BARKING AND DAGENHAM	local-authority-eng:BDG	Barking and Dagenham
BARNET	local-authority-eng:BNE	Barnet
BARNSLEY	local-authority-eng:BNS	Barnsley
BATH AND NORTH EAST SOMERSET	local-authority-eng:BAS	Bath and North East Somerset
BEDFORD	local-authority-eng:BDF	Bedford
BEXLEY	local-authority-eng:BEX	Bexley
BIRMINGHAM	local-authority-eng:BIR	Birmingham
BLACKBURN WITH DARWEN	local-authority-eng:BBD	Blackburn with Darwen
BLACKPOOL	local-authority-eng:BPL	Blackpool
BLAENAU GWENT	local-authority-wls:BGW	Blaenau Gwent
BOLTON	local-authority-eng:BOL	Bolton
BOURNEMOUTH	local-authority-eng:BMH	Bournemouth
BRACKNELL FOREST	local-authority-eng:BRC	Bracknell Forest
BRADFORD MDC	local-authority-eng:BRD	Bradford
BRENT	local-authority-eng:BEN	Brent
BRIGHTON & HOVE	local-authority-eng:BNH	Brighton and Hove
BRISTOL	local-authority-eng:BST	City of Bristol
BUCKINGHAMSHIRE	local-authority-eng:BKM	Buckinghamshire
BURY	local-authority-eng:BUR	Bury
CAERDYDD	local-authority-wls:CRF	Cardiff
CARDIFF	local-authority-wls:CRF	Cardiff
CAERPHILLY COUNTY BOROUGH	local-authority-wls:CAY	Caerphilly
CAERPHILLY CBC	local-authority-wls:CAY	Caerphilly
BWRDEISTREF SIROL CAERFFILI	local-authority-wls:CAY	Caerphilly
CAERFFILI	local-authority-wls:CAY	Caerphilly
CALDERDALE	local-authority-eng:CLD	Calderdale
CAMBRIDGESHIRE	local-authority-eng:CAM	Cambridgeshire
CAMDEN	local-authority-eng:CMD	Camden
CENTRAL BEDFORDSHIRE	local-authority-eng:CBF	Central Bedfordshire
CEREDIGION	local-authority-wls:CGN	Ceredigion
CHESHIRE EAST	local-authority-eng:CHE	Cheshire East
CHESHIRE WEST AND CHESTER	local-authority-eng:CHW	Cheshire West and Chester
CITY OF EDINBURGH	local-authority-sct:EDH	City of Edinburgh
CITY OF LONDON	local-authority-eng:LND	City of London
CITY OF STOKE-ON-TRENT	local-authority-eng:STE	Stoke-on-Trent
CITY OF WESTMINSTER	local-authority-eng:WSM	Westminster
CLACKMANNANSHIRE	local-authority-sct:CLK	Clackmannanshire
CONWY	local-authority-wls:CWY	Conwy
CORNWALL	local-authority-eng:CON	Cornwall
COVENTRY	local-authority-eng:COV	Coventry
CROYDON	local-authority-eng:CRY	Croydon
CUMBRIA	local-authority-eng:CMA	Cumbria
DARLINGTON	local-authority-eng:DAL	Darlington
DERBY	local-authority-eng:DER	Derby
DERBYSHIRE	local-authority-eng:DBY	Derbyshire
DEVON	local-authority-eng:DEV	Devon
DONCASTER	local-authority-eng:DNC	Doncaster
DORSET	local-authority-eng:DOR	Dorset
DUDLEY	local-authority-eng:DUD	Dudley
DUMFRIES AND GALLOWAY	local-authority-sct:DGY	Dumfries and Galloway
DUNDEE CITY	local-authority-sct:DND	Dundee City
DURHAM	local-authority-eng:DUR	County Durham
EALING	local-authority-eng:EAL	Ealing
EAST AYRSHIRE	local-authority-sct:EAY	East Ayrshire
EAST DUNBARTONSHIRE	local-authority-sct:EDU	East Dunbartonshire
EAST DUNNBARTONSHIRE	local-authority-sct:EDU	East Dunbartonshire
EASE DUNBARTONSHIRE	local-authority-sct:EDU	East Dunbartonshire
EAST LOTHIAN	local-authority-sct:ELN	East Lothian
EAST RENFREWSHIRE	local-authority-sct:ERW	East Renfrewshire
EAST RIDING OF YORKSHIRE	local-authority-eng:ERY	East Riding of Yorkshire
EAST SUSSEX	local-authority-eng:ESX	East Sussex
ENFIELD	local-authority-eng:ENF	Enfield
ESSEX	local-authority-eng:ESS	Essex
FALKIRK	local-authority-sct:FAL	Falkirk
FIFE	local-authority-sct:FIF	Fife
FLINTSHIRE	local-authority-wls:FLN	Flintshire
SIR Y FFLINT	local-authority-wls:FLN	Flintshire
GATESHEAD	local-authority-eng:GAT	Gateshead
GLASGOW	local-authority-sct:GLG	Glasgow City
GLASGOW CITY	local-authority-sct:GLG	Glasgow City
GLASGOW CITY COUCIL	local-authority-sct:GLG	Glasgow City
GLASGOW CITY COUNCIL	local-authority-sct:GLG	Glasgow City
GLOUCESTERSHIRE	local-authority-eng:GLS	Gloucestershire
GREENWICH	local-authority-eng:GRE	Greenwich
GWYNEDD	local-authority-wls:GWN	Gwynedd
HACKNEY	local-authority-eng:HCK	Hackney
HALTON	local-authority-eng:HAL	Halton
HAMMERSMITH AND FULHAM	local-authority-eng:HMF	Hammersmith and Fulham
