snac	local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date
00	GLA	ENG	CTY		Greater London					
11	BKM	ENG	CTY		Buckinghamshire					
12	CAM	ENG	CTY		Cambridgeshire					
16	CMA	ENG	CTY		Cumbria						
17	DBY	ENG	CTY		Derbyshire						
18	DEV	ENG	CTY		Devon						
19	DOR	ENG	CTY		Dorset						
21	ESX	ENG	CTY		East Sussex						
22	ESS	ENG	CTY		Essex						
23	GLS	ENG	CTY		Gloucestershire						
24	HAM	ENG	CTY		Hampshire						
26	HRT	ENG	CTY		Hertfordshire						
29	KEN	ENG	CTY		Kent							
30	LAN	ENG	CTY		Lancashire							
31	LEC	ENG	CTY		Leicestershire							
32	LIN	ENG	CTY		Lincolnshire							
33	NFK	ENG	CTY		Norfolk							
36	NYK	ENG	CTY		North Yorkshire							
34	NTH	ENG	CTY		Northamptonshire							
37	NTT	ENG	CTY		Nottinghamshire							
38	OXF	ENG	CTY		Oxfordshire							
40	SOM	ENG	CTY		Somerset							
41	STS	ENG	CTY		Staffordshire							
42	SFK	ENG	CTY		Suffolk							
43	SRY	ENG	CTY		Surrey							
44	WAR	ENG	CTY		Warwickshire							
45	WSX	ENG	CTY		West Sussex							
47	WOR	ENG	CTY		Worcestershire							
00AA	LND	ENG	CTY		City of London						
00AB	BDG	ENG	LBO		Barking and Dagenham							
	BNE	ENG	LBO		Barnet							
	BEX	ENG	LBO		Bexley							
	BEN	ENG	LBO		Brent							
	BRY	ENG	LBO		Bromley							
00AG	CMD	ENG	LBO		Camden							
	CRY	ENG	LBO		Croydon							
	EAL	ENG	LBO		Ealing							
	ENF	ENG	LBO		Enfield							
00AL	GRE	ENG	LBO		Greenwich							
	HCK	ENG	LBO		Hackney							
00AN	HMF	ENG	LBO		Hammersmith and Fulham							
	HRY	ENG	LBO		Haringey							
	HRW	ENG	LBO		Harrow							
	HAV	ENG	LBO		Havering							
	HIL	ENG	LBO		Hillingdon							
	HNS	ENG	LBO		Hounslow							
	ISL	ENG	LBO		Islington							
00AW	KEC	ENG	LBO		Kensington and Chelsea							
00AX	KTT	ENG	LBO		Kingston upon Thames							
	LBH	ENG	LBO		Lambeth							
00AZ	LEW	ENG	LBO		Lewisham							
	MRT	ENG	LBO		Merton							
	NWM	ENG	LBO		Newham							
	RDB	ENG	LBO		Redbridge							
	RIC	ENG	LBO		Richmond upon Thames							
	SWK	ENG	LBO		Southwark							
	STN	ENG	LBO		Sutton							
	TWH	ENG	LBO		Tower Hamlets							
	WFT	ENG	LBO		Waltham Forest							
	WND	ENG	LBO		Wandsworth							
00BK	WSM	ENG	LBO		Westminster							
	BNS	ENG	MD		Barnsley							
	BIR	ENG	MD		Birmingham							
	BOL	ENG	MD		Bolton							
	BRD	ENG	MD		Bradford							
	BUR	ENG	MD		Bury							
	CLD	ENG	MD		Calderdale							
	COV	ENG	MD		Coventry							
	DNC	ENG	MD		Doncaster							
	DUD	ENG	MD		Dudley							
	GAT	ENG	MD		Gateshead							
	KIR	ENG	MD		Kirklees							
	KWL	ENG	MD		Knowsley							
	LDS	ENG	MD		Leeds							
	LIV	ENG	MD		Liverpool							
	MAN	ENG	MD		Manchester							
00CJ	NET	ENG	MD		Newcastle upon Tyne							
	NTY	ENG	MD		North Tyneside							
	OLD	ENG	MD		Oldham							
	RCH	ENG	MD		Rochdale							
	ROT	ENG	MD		Rotherham							
00BZ	SHN	ENG	MD		St. Helens							
	SLF	ENG	MD		Salford							
	SAW	ENG	MD		Sandwell							
	SFT	ENG	MD		Sefton							
	SHF	ENG	MD		Sheffield							
	SOL	ENG	MD		Solihull							
	STY	ENG	MD		South Tyneside							
	SKP	ENG	MD		Stockport							
	SND	ENG	MD		Sunderland							
	TAM	ENG	MD		Tameside							
	TRF	ENG	MD		Trafford							
	WKF	ENG	MD		Wakefield							
	WLL	ENG	MD		Walsall							
	WGN	ENG	MD		Wigan							
	WRL	ENG	MD		Wirral							
	WLV	ENG	MD		Wolverhampton							
	BAS	ENG	UA		Bath and North East Somerset							
	BDF	ENG	UA		Bedford							
	BBD	ENG	UA		Blackburn with Darwen							
	BPL	ENG	UA		Blackpool							
	BMH	ENG	UA		Bournemouth							
	BRC	ENG	UA		Bracknell Forest							
	BNH	ENG	UA		Brighton and Hove							
00HB	BST	ENG	UA		City of Bristol							
	CBF	ENG	UA		Central Bedfordshire							
	CHE	ENG	UA		Cheshire East							
	CHW	ENG	UA		Cheshire West and Chester							
	CON	ENG	UA		Cornwall							
	DAL	ENG	UA		Darlington							
