local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
SFT	ENG	MTD		Sefton		Sefton Metropolitan Borough Council	http://www.sefton.gov.uk			00CA
LUT	ENG	UTA		Luton		Luton Borough Council	http://www.luton.gov.uk			00KA
DNC	ENG	MTD		Doncaster		Doncaster Metropolitan Borough Council	http://www.doncaster.gov.uk			00CE
IOW	ENG	UTA		Isle of Wight		Isle of Wight Council	http://www.iwight.com			00MW
SOL	ENG	MTD		Solihull		Solihull Metropolitan Borough Council	http://www.solihull.gov.uk			00CT
SND	ENG	MTD		Sunderland		Sunderland City Council	http://www.sunderland.gov.uk			00CM
TOB	ENG	UTA		Torbay		Torbay Council	http://www.torbay.gov.uk			00HH
NLN	ENG	UTA		North Lincolnshire		North Lincolnshire Council	http://www.northlincs.gov.uk			00FD
LIV	ENG	MTD		Liverpool		Liverpool City Council	http://www.liverpool.gov.uk			00BY
SHN	ENG	MTD		St. Helens		St Helens Council	http://www.sthelens.gov.uk			00BZ
WOK	ENG	UTA		Wokingham		Wokingham Borough Council	http://www.wokingham.gov.uk			00MF
COV	ENG	MTD		Coventry		Coventry City Council	http://www.coventry.gov.uk			00CQ
HAL	ENG	UTA		Halton		Halton Borough Council	http://www.halton.gov.uk			00ET
SKP	ENG	MTD		Stockport		Stockport Metropolitan Borough Council	http://www.stockport.gov.uk			00BS
WKF	ENG	MTD		Wakefield		Wakefield Metropolitan District Council	http://www.wakefield.gov.uk			00DB
OLD	ENG	MTD		Oldham		Oldham Metropolitan Borough Council	http://www.oldham.gov.uk			00BP
LDS	ENG	MTD		Leeds		Leeds City Council	http://www.leeds.gov.uk			00DA
BIR	ENG	MTD		Birmingham		Birmingham City Council	http://www.birmingham.gov.uk			00CN
BRC	ENG	UTA		Bracknell Forest		Bracknell Forest Council	http://www.bracknell-forest.gov.uk			00MA
RCH	ENG	MTD		Rochdale		Rochdale Metropolitan Borough Council	http://www.rochdale.gov.uk			00BQ
RCC	ENG	UTA		Redcar and Cleveland		Redcar and Cleveland Borough Council	http://www.redcar-cleveland.gov.uk			00EE
HEF	ENG	UTA		Herefordshire		Herefordshire Council	https://www.herefordshire.gov.uk			00GA
SLF	ENG	MTD		Salford		Salford City Council	http://www.salford.gov.uk			00BR
SGC	ENG	UTA		South Gloucestershire		South Gloucestershire Council	http://www.southglos.gov.uk			00HD
DUD	ENG	MTD		Dudley		Dudley Metropolitan Borough Council	http://www.dudley.gov.uk			00CR
WLV	ENG	MTD		Wolverhampton		Wolverhampton City Council	http://www.wolverhampton.gov.uk			00CW
CLD	ENG	MTD		Calderdale		Calderdale Metropolitan Borough Council	http://www.calderdale.gov.uk			00CY
WIL	ENG	UTA		Wiltshire		Wiltshire Council	http://www.wiltshire.gov.uk			00HY
BOL	ENG	MTD		Bolton		Bolton Metropolitan Borough Council	http://www.bolton.gov.uk			00BL
STT	ENG	UTA		Stockton-on-Tees		Stockton-on-Tees Borough Council	http://www.stockton.gov.uk			00EF
WBK	ENG	UTA		West Berkshire		West Berkshire Council	http://www.westberks.gov.uk			00MB
NGM	ENG	UTA		Nottingham		Nottingham City Council	http://www.nottinghamcity.gov.uk			00FY
BDF	ENG	UTA		Bedford		Bedford Borough Council	http://www.bedford.gov.uk			00KB
POL	ENG	UTA		Poole		Borough of Poole	http://www.poole.gov.uk			00HP
NET	ENG	MTD		Newcastle upon Tyne		Newcastle City Council	http://www.newcastle.gov.uk			00CJ
BMH	ENG	UTA		Bournemouth		Bournemouth Borough Council	http://www.bournemouth.gov.uk			00HN
POR	ENG	UTA		Portsmouth		Portsmouth City Council	http://www.portsmouth.gov.uk			00MR
LCE	ENG	UTA		Leicester		Leicester City Council	http://www.leicester.gov.uk			00FN
BNS	ENG	MTD		Barnsley		Barnsley Metropolitan Borough Council	http://www.barnsley.gov.uk			00CC
GAT	ENG	MTD		Gateshead		Gateshead Metropolitan Borough Council	http://www.gateshead.gov.uk			00CH
HPL	ENG	UTA		Hartlepool		Hartlepool Borough Council	http://www.hartlepool.gov.uk			00EB
MAN	ENG	MTD		Manchester		Manchester City Council	http://www.manchester.gov.uk			00BN
MDW	ENG	UTA		Medway		Medway Council	http://www.medway.gov.uk			00LC
BNH	ENG	UTA		Brighton and Hove		Brighton and Hove City Council	http://www.brighton-hove.gov.uk			00ML
IOS	ENG	UTA		Isles of Scilly		Council of the Isles of Scilly	http://www.scilly.gov.uk			00HF
WLL	ENG	MTD		Walsall		Walsall Council	http://www.walsall.gov.uk			00CU
DAL	ENG	UTA		Darlington		Darlington Borough Council	http://www.darlington.gov.uk			00EH
YOR	ENG	UTA		York		City of York Council	http://www.york.gov.uk			00FF
SAW	ENG	MTD		Sandwell		Sandwell Metropolitan Borough Council	http://www.sandwell.gov.uk			00CS
BUR	ENG	MTD		Bury		Bury Metropolitan Borough Council	http://www.bury.gov.uk			00BM
RUT	ENG	UTA		Rutland		Rutland County Council	http://www.rutland.gov.uk			00FP
WRL	ENG	MTD		Wirral		Wirral Council	http://www.wirral.gov.uk			00CB
SHR	ENG	UTA		Shropshire		Shropshire Council	http://www.shropshire.gov.uk			00GG
ROT	ENG	MTD		Rotherham		Rotherham Metropolitan Borough Council	http://www.rotherham.gov.uk			00CF
STY	ENG	MTD		South Tyneside		South Tyneside Council	http://www.southtyneside.gov.uk			00CL
CBF	ENG	UTA		Central Bedfordshire		Central Bedfordshire Council	http://www.centralbedfordshire.gov.uk			00KC
SOS	ENG	UTA		Southend-on-Sea		Southend-on-Sea Borough Council	http://www.southend.gov.uk			00KF
NSM	ENG	UTA		North Somerset		North Somerset  Council	http://www.n-somerset.gov.uk			00HC
BPL	ENG	UTA		Blackpool		Blackpool Borough Council	http://www.blackpool.gov.uk			00EY
CHW	ENG	UTA		Cheshire West and Chester		Cheshire West and Chester Council	http://www.cheshirewestandchester.gov.uk			00EW
TRF	ENG	MTD		Trafford		Trafford Council	http://www.trafford.gov.uk			00BU
KHL	ENG	UTA		Kingston upon Hull		Hull City Council	http://www.hullcc.gov.uk			00FA
KWL	ENG	MTD		Knowsley		Knowsley Council	http://www.knowsley.gov.uk			00BX
PTE	ENG	UTA		Peterborough		Peterborough City Council	http://www.peterborough.gov.uk			00JA
CHE	ENG	UTA		Cheshire East		Cheshire East Council	http://www.cheshireeast.gov.uk			00EQ
LND	ENG	CTY		City of London		City and County of the City of London	http://www.cityoflondon.gov.uk			00AA
NTY	ENG	MTD		North Tyneside		North Tyneside Council	http://my.northtyneside.gov.uk			00CK
WGN	ENG	MTD		Wigan		Wigan Council	http://www.wigan.gov.uk			00BW
THR	ENG	UTA		Thurrock		Thurrock Council	http://www.thurrock.gov.uk			00KG
TFW	ENG	UTA		Telford and Wrekin		Telford & Wrekin Council	http://www.telford.gov.uk			00GF
MIK	ENG	UTA		Milton Keynes		Milton Keynes Council	http://www.milton-keynes.gov.uk			00MG
PLY	ENG	UTA		Plymouth		Plymouth City Council	http://www.plymouth.gov.uk			00HG
KIR	ENG	MTD		Kirklees		Kirklees Council	http://www.kirklees.gov.uk			00CZ
CON	ENG	UTA		Cornwall		Cornwall Council	http://www.cornwall.gov.uk			00HE
BRD	ENG	MTD		Bradford		Bradford Metropolitan District Council	http://www.bradford.gov.uk			00CX
BBD	ENG	UTA		Blackburn with Darwen		Blackburn with Darwen Borough Council	http://www.blackburn.gov.uk			00EX
NBL	ENG	UTA		Northumberland		Northumberland Council	http://www.northumberland.gov.uk			00EM
STE	ENG	UTA		Stoke-on-Trent		Stoke-on-Trent City Council	http://www.stoke.gov.uk			00GL
WNM	ENG	UTA		Windsor and Maidenhead		Royal Borough of Windsor and Maidenhead	http://www.rbwm.gov.uk			00ME
ERY	ENG	UTA		East Riding of Yorkshire		East Riding of Yorkshire Council	http://www.eastriding.gov.uk			00FB
SHF	ENG	MTD		Sheffield		Sheffield City Council	http://www.sheffield.gov.uk			00CG
SLG	ENG	UTA		Slough		Slough Borough Council	http://www.slough.gov.uk			00MD
SWD	ENG	UTA		Swindon		Swindon Borough Council	http://www.swindon.gov.uk			00HX
MDB	ENG	UTA		Middlesbrough		Middlesbrough Borough Council	http://www.middlesbrough.gov.uk			00EC
BST	ENG	UTA		City of Bristol		Bristol City Council	http://www.bristol.gov.uk			00HB
DUR	ENG	UTA		County Durham		Durham County Council	http://www.durham.gov.uk			00EJ
RDG	ENG	UTA		Reading		Reading Borough Council	http://beta.reading.gov.uk			00MC
STH	ENG	UTA		Southampton		Southampton City Council	http://www.southampton.gov.uk			00MS
NEL	ENG	UTA		North East Lincolnshire		North East Lincolnshire Council	http://www.nelincs.gov.uk			00FC
TAM	ENG	MTD		Tameside		Tameside Metropolitan Borough Council	http://www.tameside.gov.uk			00BT
WRT	ENG	UTA		Warrington		Warrington Borough Council	http://www.warrington.gov.uk			00EU
GLA	ENG	CTY		Greater London		Greater London Authority	http://www.london.gov.uk			00
BAS	ENG	UTA		Bath and North East Somerset		Bath and North East Somerset Council	http://www.bathnes.gov.uk			00HA
BKM-UB	ENG		BKM			Aylesbury Vale District Council	http://www.aylesburyvaledc.gov.uk			11UB
BKM-UF	ENG		BKM			Wycombe District Council	http://www.wycombe.gov.uk			11UF
BKM-UC	ENG		BKM			Chiltern District Council	http://www.chiltern.gov.uk			11UC
