snac	local-authority-type	official-name	website	start-date	end-date
00		Greater London Authority	http://www.london.gov.uk		
45UB		Adur District Council	http://www.adur-worthing.gov.uk		
16UB		Allerdale Borough Council	http://www.allerdale.gov.uk		
17UB		Amber Valley Borough Council	http://www.ambervalley.gov.uk		
45UC		Arun District Council	http://www.arun.gov.uk		
37UB		Ashfield District Council	http://www.ashfield-dc.gov.uk		
29UB		Ashford Borough Council	http://www.ashford.gov.uk		
11UB		Aylesbury Vale District Council	http://www.aylesburyvaledc.gov.uk		
42UB		Babergh District Council	http://www.babergh.gov.uk		
00AB		London Borough of Barking and Dagenham	https://www.lbbd.gov.uk		
00AC		London Borough of Barnet	http://www.barnet.gov.uk		
00CC		Barnsley Metropolitan Borough Council	http://www.barnsley.gov.uk		
22UB		Basildon Borough Council	http://www.basildon.gov.uk		
24UB		Basingstoke and Deane Borough Council	http://www.basingstoke.gov.uk		
37UC		Bassetlaw District Council	http://www.bassetlaw.gov.uk		
00HA		Bath and North East Somerset Council	http://www.bathnes.gov.uk		
00KB		Bedford Borough Council	http://www.bedford.gov.uk		
00AD		London Borough of Bexley	http://www.bexley.gov.uk		
00CN		Birmingham City Council	http://www.birmingham.gov.uk		
31UB		Blaby District Council	http://www.blaby.gov.uk		
00EX		Blackburn with Darwen Borough Council	http://www.blackburn.gov.uk		
00EY		Blackpool Borough Council	http://www.blackpool.gov.uk		
17UC		Bolsover District Council	http://www.bolsover.gov.uk		
00BL		Bolton Metropolitan Borough Council	http://www.bolton.gov.uk		
32UB		Boston Borough Council	http://www.boston.gov.uk		
00HN		Bournemouth Borough Council	http://www.bournemouth.gov.uk		
00MA		Bracknell Forest Council	http://www.bracknell-forest.gov.uk		
00CX		Bradford Metropolitan District Council	http://www.bradford.gov.uk		
22UC		Braintree District Council	http://www.braintree.gov.uk		
33UB		Breckland Council	http://www.breckland.gov.uk		
00AE		London Borough of Brent	https://www.brent.gov.uk		
22UD		Brentwood Borough Council	http://www.brentwood.gov.uk		
00ML		Brighton and Hove City Council	http://www.brighton-hove.gov.uk		
33UC		Broadland District Council	http://www.broadland.gov.uk		
00AF		London Borough of Bromley	http://www.bromley.gov.uk		
47UB		Bromsgrove District Council	http://www.bromsgrove.gov.uk		
26UB		Borough of Broxbourne	http://www.broxbourne.gov.uk		
37UD		Broxtowe Borough Council	http://www.broxtowe.gov.uk		
11		Buckinghamshire County Council	http://www.buckscc.gov.uk		
30UD		Burnley Borough Council	http://www.burnley.gov.uk		
00CY		Calderdale Metropolitan Borough Council	http://www.calderdale.gov.uk		
12UB		Cambridge City Council	https://www.cambridge.gov.uk		
12		Cambridgeshire County Council	http://www.cambridgeshire.gov.uk		
00AG		London Borough of Camden	http://www.camden.gov.uk		
41UB		Cannock Chase District Council	http://www.cannockchasedc.gov.uk		
29UC		Canterbury City Council	https://www.canterbury.gov.uk		
16UD		Carlisle City Council	http://www.carlisle.gov.uk		
22UE		Castle Point Borough Council	http://www.castlepoint.gov.uk		
31UC		Charnwood Borough Council	http://www.charnwood.gov.uk		
22UF		Chelmsford City Council	http://www.chelmsford.gov.uk		
23UB		Cheltenham Borough Council	http://www.cheltenham.gov.uk		
38UB		Cherwell District Council	http://www.cherwell-dc.gov.uk		
00EQ		Cheshire East Council	http://www.cheshireeast.gov.uk		
17UD		Chesterfield Borough Council	http://www.chesterfield.gov.uk		
45UD		Chichester District Council	http://www.chichester.gov.uk		
11UC		Chiltern District Council	http://www.chiltern.gov.uk		
30UE		Chorley Council	http://www.chorley.gov.uk		
19UC		Christchurch Borough Council	http://www.dorsetforyou.com		
22UG		Colchester Borough Council	http://www.colchester.gov.uk		
16UE		Copeland Borough Council	http://www.copeland.gov.uk		
34UB		Corby Borough Council	http://www.corby.gov.uk		
00HE		Cornwall Council	http://www.cornwall.gov.uk		
00AA		City and County of the City of London	http://www.cityoflondon.gov.uk		
23UC		Cotswold District Council	http://www.cotswold.gov.uk		
00CQ		Coventry City Council	http://www.coventry.gov.uk		
36UB		Craven District Council	http://www.cravendc.gov.uk		
45UE		Crawley Borough Council	http://www.crawley.gov.uk		
00AH		London Borough of Croydon	http://www.croydon.gov.uk		
16		Cumbria County Council	http://www.cumbria.gov.uk		
26UC		Dacorum Borough Council	http://www.dacorum.gov.uk		
00EH		Darlington Borough Council	http://www.darlington.gov.uk		
29UD		Dartford Borough Council	http://www.dartford.gov.uk		
34UC		Daventry District Council	http://www.daventrydc.gov.uk		
00FK		Derby City Council	http://www.derby.gov.uk		
17		Derbyshire County Council	http://www.derbyshire.gov.uk		
17UF		Derbyshire Dales District Council	http://www.derbyshiredales.gov.uk		
18		Devon County Council	http://www.devon.gov.uk		
00CE		Doncaster Metropolitan Borough Council	http://www.doncaster.gov.uk		
19		Dorset County Council	http://www.dorsetforyou.com		
29UE		Dover District Council	http://www.dover.gov.uk		
00EJ		Durham County Council	http://www.durham.gov.uk		
12UC		East Cambridgeshire District Council	http://www.eastcambs.gov.uk		
18UB		East Devon District Council	http://eastdevon.gov.uk		
19UD		East Dorset District Council	http://www.dorsetforyou.com		
24UC		East Hampshire District Council	http://www.easthants.gov.uk		
26UD		East Hertfordshire District Council	http://www.eastherts.gov.uk		
32UC		East Lindsey District Council	http://www.e-lindsey.gov.uk		
34UD		East Northamptonshire Council	http://www.east-northamptonshire.gov.uk		
00FB		East Riding of Yorkshire Council	http://www.eastriding.gov.uk		
41UC		East Staffordshire Borough Council	http://www.eaststaffsbc.gov.uk		
21		East Sussex County Council	http://www.eastsussex.gov.uk		
21UC		Eastbourne Borough Council	http://www.eastbourne.gov.uk		
24UD		Eastleigh Borough Council	http://www.eastleigh.gov.uk		
16UF		Eden District Council	http://www.eden.gov.uk		
00AK		London Borough of Enfield	http://www.enfield.gov.uk		
22UH		Epping Forest District Council	http://www.eppingforestdc.gov.uk		
43UC		Epsom and Ewell Borough Council	http://www.epsom-ewell.gov.uk		
17UG		Erewash Borough Council	http://www.erewash.gov.uk		
22		Essex County Council	http://www.essex.gov.uk		
18UC		Exeter City Council	http://exeter.gov.uk		
24UE		Fareham Borough Council	http://www.fareham.gov.uk		
12UD		Fenland District Council	http://www.fenland.gov.uk		
42UC		Forest Heath District Council	http://www.forest-heath.gov.uk		
23UD		Forest of Dean District Council	http://www.fdean.gov.uk		
30UF		Fylde Borough Council	http://www.fylde.gov.uk		
37UE		Gedling Borough Council	http://www.gedling.gov.uk		
23UE		Gloucester City Council	http://www.gloucester.gov.uk		
23		Gloucestershire County Council	http://www.gloucestershire.gov.uk		
24UF		Gosport Borough Council	http://www.gosport.gov.uk		
29UG		Gravesham Borough Council	http://www.gravesham.gov.uk		
33UD		Great Yarmouth Borough Council	http://www.great-yarmouth.gov.uk		
